ID,history,reopenings,comments,score1,score2
CAMEL-8461,"Date: 2015-03-09T03:51:37.530-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8460,"Date: 2015-04-21T14:04:03.695-07:00, From: Open To: ResolvedDate: 2015-05-06T12:36:00.938-07:00, From: Resolved To: ReopenedDate: 2015-05-12T09:16:23.402-07:00, From: Reopened To: Resolved",1,19,3,-2
CAMEL-8459,"Date: 2015-03-08T00:00:18.465-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8458,"Date: 2015-03-09T03:53:42.743-07:00, From: Open To: Resolved",0,2,2,-1
CAMEL-8457,"Date: 2015-03-09T03:53:32.337-07:00, From: Open To: Resolved",0,4,2,-2
CAMEL-8456,"Date: 2015-03-09T03:53:21.549-07:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8455,"Date: 2015-03-09T03:53:06.497-07:00, From: Open To: Resolved",0,4,2,-1
CAMEL-8454,"Date: 2015-03-09T03:52:11.177-07:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8453,"Date: 2015-03-06T10:30:06.518-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8452,"Date: 2015-03-12T08:14:10.640-07:00, From: Open To: Resolved",0,2,1,-2
CAMEL-8451,"Date: 2015-03-06T07:26:05.480-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8450,"Date: 2015-03-06T03:14:05.076-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8449,"Date: 2015-03-06T01:44:57.644-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8448,"Date: 2015-03-08T00:05:25.884-08:00, From: Open To: Resolved",0,2,1,-2
CAMEL-8447,"Date: 2015-03-08T00:08:20.546-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8446,"Date: 2015-09-07T07:57:38.614-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8445,"Date: 2015-07-09T03:54:05.092-07:00, From: Open To: Resolved",0,3,1,-1
CAMEL-8444,"Date: 2015-03-05T23:49:11.607-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8443,"Date: 2015-03-06T01:33:28.039-08:00, From: Open To: Resolved",0,5,1,-1
CAMEL-8442,"Date: 2015-09-29T00:19:08.910-07:00, From: Open To: Resolved",0,10,3,-3
CAMEL-8441,"Date: 2015-03-05T17:35:33.139-08:00, From: Open To: Resolved",0,3,1,-2
CAMEL-8440,"Date: 2015-03-05T08:26:29.022-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8439,"Date: 2015-03-04T23:35:50.584-08:00, From: Open To: Resolved",0,3,1,-2
CAMEL-8438,,0,3,2,-4
CAMEL-8437,"Date: 2015-03-14T12:32:03.428-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8436,"Date: 2015-03-04T13:04:08.705-08:00, From: Open To: Resolved",0,7,3,-3
CAMEL-8435,"Date: 2015-07-09T03:44:17.326-07:00, From: Open To: Resolved",0,3,2,-1
CAMEL-8434,"Date: 2015-03-04T02:36:47.200-08:00, From: Open To: In ProgressDate: 2015-03-04T03:05:19.850-08:00, From: In Progress To: ResolvedDate: 2015-03-05T10:11:37.755-08:00, From: Resolved To: ReopenedDate: 2015-03-05T10:34:34.883-08:00, From: Reopened To: Resolved",1,3,1,-2
CAMEL-8433,"Date: 2015-03-03T21:27:10.567-08:00, From: Open To: Resolved",0,4,2,-1
CAMEL-8432,"Date: 2015-03-04T04:37:43.449-08:00, From: Open To: Resolved",0,3,2,-1
CAMEL-8431,"Date: 2015-03-04T06:33:32.991-08:00, From: Open To: ResolvedDate: 2015-10-07T19:02:32.743-07:00, From: Resolved To: ReopenedDate: 2015-10-11T08:33:25.827-07:00, From: Reopened To: Resolved",1,6,2,-2
CAMEL-8430,"Date: 2015-03-03T23:43:59.191-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8429,,0,2,1,-1
CAMEL-8428,"Date: 2015-03-03T06:03:52.179-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8427,"Date: 2015-03-03T01:12:49.041-08:00, From: Open To: Resolved",0,17,3,-2
CAMEL-8426,"Date: 2015-03-02T11:08:43.574-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8425,"Date: 2015-03-02T10:54:12.354-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8424,"Date: 2015-03-02T10:32:40.712-08:00, From: Open To: Resolved",0,3,1,-2
CAMEL-8423,"Date: 2015-03-03T10:28:56.202-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8422,"Date: 2015-03-03T01:14:13.356-08:00, From: Open To: Closed",0,1,3,-1
CAMEL-8421,"Date: 2015-03-03T23:29:57.864-08:00, From: Open To: Resolved",0,8,3,-2
CAMEL-8420,"Date: 2015-09-29T00:24:09.231-07:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8419,"Date: 2017-06-29T04:56:00.005-07:00, From: Open To: Resolved",0,10,2,-2
CAMEL-8418,"Date: 2016-11-27T00:26:40.964-08:00, From: Open To: Resolved",0,9,2,-2
CAMEL-8417,"Date: 2015-03-01T23:19:49.928-08:00, From: Open To: Resolved",0,5,2,-2
CAMEL-8416,"Date: 2015-02-28T02:47:04.687-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8415,"Date: 2015-09-07T05:11:03.935-07:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8414,"Date: 2015-03-02T09:10:31.828-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8413,"Date: 2016-01-26T04:06:12.967-08:00, From: Open To: In ProgressDate: 2016-01-26T05:36:50.108-08:00, From: In Progress To: Resolved",0,2,1,-2
CAMEL-8412,"Date: 2015-03-17T12:53:18.451-07:00, From: Open To: In ProgressDate: 2016-04-25T11:33:43.700-07:00, From: In Progress To: Resolved",0,1,1,-1
CAMEL-8411,"Date: 2015-02-26T04:33:23.363-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8410,"Date: 2015-04-09T01:28:48.658-07:00, From: Open To: Resolved",0,3,2,-2
CAMEL-8409,"Date: 2015-02-26T01:13:26.538-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8408,"Date: 2015-02-26T05:02:51.672-08:00, From: Open To: Resolved",0,1,1,-2
CAMEL-8407,"Date: 2015-02-28T01:08:48.570-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8406,"Date: 2015-02-26T02:29:59.630-08:00, From: Open To: Resolved",0,0,1,-1
CAMEL-8405,,0,0,1,-1
CAMEL-8404,,0,0,1,-1
CAMEL-8403,,0,0,1,-1
CAMEL-8402,"Date: 2016-01-09T06:36:33.068-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8401,"Date: 2015-02-26T05:02:08.850-08:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8400,"Date: 2015-02-27T22:42:36.065-08:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8399,"Date: 2015-02-26T04:57:16.399-08:00, From: Open To: Resolved",0,3,1,-1
CAMEL-8398,"Date: 2015-02-26T04:58:12.550-08:00, From: Open To: Resolved",0,1,2,-1
CAMEL-8397,"Date: 2015-06-24T20:52:10.561-07:00, From: Open To: Resolved",0,1,1,-1
CAMEL-8396,"Date: 2017-11-07T04:23:57.867-08:00, From: Open To: Resolved",0,5,1,-1
CAMEL-8395,"Date: 2015-02-23T14:30:04.298-08:00, From: Open To: Closed",0,1,1,-1
CAMEL-8394,"Date: 2015-02-25T07:28:07.140-08:00, From: Open To: Resolved",0,3,3,-2
CAMEL-8393,"Date: 2015-09-16T06:04:57.739-07:00, From: Open To: Resolved",0,2,1,-1
CAMEL-8392,"Date: 2015-08-20T09:12:45.900-07:00, From: Open To: Resolved",0,7,2,-3
