ID,date,history,reopenings,comments,numWords,score1,score2
CLOUDSTACK-6310,2014-03-31,"Date: 2017-02-08T01:23:15.257-08:00, From: Open To: Closed",0,0,2,1,-1
CLOUDSTACK-6309,2014-03-31,"Date: 2014-03-31T11:30:31.654-07:00, From: Open To: ResolvedDate: 2014-09-21T12:43:18.242-07:00, From: Resolved To: Closed",0,5,95,1,-1
CLOUDSTACK-6308,2014-03-31,"Date: 2014-05-23T00:00:00.870-07:00, From: Open To: Closed",0,3,116,1,-1
CLOUDSTACK-6307,2014-03-29,,0,0,2,1,-1
CLOUDSTACK-6305,2014-03-28,"Date: 2014-03-28T16:17:03.682-07:00, From: Open To: Resolved",0,2,54,1,-1
CLOUDSTACK-6304,2014-03-28,"Date: 2014-04-22T01:23:31.431-07:00, From: Open To: In ProgressDate: 2014-04-27T23:01:26.188-07:00, From: In Progress To: Resolved",0,3,201,1,-1
CLOUDSTACK-6303,2014-03-28,"Date: 2014-03-28T19:06:28.824-07:00, From: Open To: ResolvedDate: 2014-09-21T12:43:04.334-07:00, From: Resolved To: Closed",0,6,268,1,-1
CLOUDSTACK-6302,2014-03-28,,0,1,88,1,-1
CLOUDSTACK-6300,2014-03-28,"Date: 2017-02-08T01:22:58.092-08:00, From: Open To: Closed",0,0,2,1,-1
CLOUDSTACK-6299,2014-03-28,"Date: 2014-03-28T06:57:26.800-07:00, From: Open To: Resolved",0,4,75,2,-1
CLOUDSTACK-6298,2014-03-27,"Date: 2014-04-16T02:44:47.680-07:00, From: Open To: Resolved",0,1,51,1,-1
CLOUDSTACK-6297,2014-03-27,"Date: 2014-06-30T12:56:08.168-07:00, From: Open To: ResolvedDate: 2014-09-02T05:21:42.417-07:00, From: Resolved To: Closed",0,3,57,1,-1
CLOUDSTACK-6296,2014-03-27,"Date: 2014-03-27T14:13:31.864-07:00, From: Open To: ResolvedDate: 2014-03-27T14:13:36.089-07:00, From: Resolved To: Closed",0,3,76,1,-1
CLOUDSTACK-6295,2014-03-27,"Date: 2014-05-06T06:53:09.452-07:00, From: Open To: Resolved",0,3,63,1,-1
CLOUDSTACK-6294,2014-03-27,"Date: 2014-03-28T04:51:21.449-07:00, From: Open To: Resolved",0,2,39,1,-1
CLOUDSTACK-6293,2014-03-27,"Date: 2015-07-30T11:34:52.344-07:00, From: Open To: Closed",0,2,49,1,-1
CLOUDSTACK-6292,2014-03-27,"Date: 2014-04-09T10:39:50.830-07:00, From: Open To: Resolved",0,2,68,1,-1
CLOUDSTACK-6291,2014-03-27,"Date: 2014-03-27T23:54:48.656-07:00, From: Open To: In ProgressDate: 2014-03-28T01:17:45.195-07:00, From: In Progress To: Resolved",0,1,65,1,-1
CLOUDSTACK-6290,2014-03-26,"Date: 2014-03-27T01:06:10.638-07:00, From: Open To: In ProgressDate: 2014-03-27T23:53:06.608-07:00, From: In Progress To: Resolved",0,1,43,1,-1
