ID,date,history,reopenings,comments,numWords,score1,score2
CLOUDSTACK-9617,2016-11-25,"Date: 2017-01-06T03:15:09.139-08:00, From: Open To: Closed",0,10,614,2,-2
CLOUDSTACK-9616,2016-11-25,,0,0,2,1,-1
CLOUDSTACK-9615,2016-11-25,"Date: 2017-01-06T03:15:08.128-08:00, From: Open To: Closed",0,28,1906,2,-2
CLOUDSTACK-9614,2016-11-24,,0,0,2,1,-1
CLOUDSTACK-9613,2016-11-24,,0,7,455,2,-2
CLOUDSTACK-9612,2016-11-24,"Date: 2017-01-06T03:15:06.945-08:00, From: Open To: Closed",0,11,921,2,-2
CLOUDSTACK-9611,2016-11-23,,0,38,2674,3,-3
CLOUDSTACK-9610,2016-11-23,"Date: 2016-11-23T01:37:40.857-08:00, From: Open To: ClosedDate: 2016-11-24T00:24:33.352-08:00, From: Closed To: Reopened",1,29,946,2,-2
CLOUDSTACK-9609,2016-11-23,,0,0,2,1,-1
CLOUDSTACK-9608,2016-11-23,,0,26,1890,3,-2
CLOUDSTACK-9607,2016-11-23,,0,59,6685,3,-3
CLOUDSTACK-9606,2016-11-23,,0,31,2003,2,-2
CLOUDSTACK-9605,2016-11-23,,0,0,2,1,-1
CLOUDSTACK-9604,2016-11-23,,0,144,17787,3,-3
CLOUDSTACK-9603,2016-11-23,,0,16,1458,2,-2
CLOUDSTACK-9602,2016-11-22,,0,34,3460,2,-2
CLOUDSTACK-9601,2016-11-18,,0,1,121,1,-1
CLOUDSTACK-9600,2016-11-16,"Date: 2018-02-20T07:58:31.868-08:00, From: Open To: Closed",0,12,627,3,-3
CLOUDSTACK-9599,2016-11-16,"Date: 2018-01-04T02:17:27.813-08:00, From: Open To: Closed",0,4,225,1,-1
CLOUDSTACK-9598,2016-11-15,"Date: 2017-03-17T09:23:10.672-07:00, From: Open To: Resolved",0,45,4158,3,-2
CLOUDSTACK-9597,2016-11-15,"Date: 2017-01-06T03:15:05.968-08:00, From: Open To: Closed",0,21,1873,2,-2
CLOUDSTACK-9596,2016-11-11,,0,3,180,1,-2
CLOUDSTACK-9595,2016-11-11,,0,100,13960,3,-4
CLOUDSTACK-9593,2016-11-11,,0,53,3984,2,-3
CLOUDSTACK-9592,2016-11-10,,0,15,1050,1,-2
CLOUDSTACK-9591,2016-11-10,"Date: 2017-12-18T23:45:29.928-08:00, From: Open To: Closed",0,44,3827,2,-2
CLOUDSTACK-9590,2016-11-10,"Date: 2016-12-01T05:08:43.146-08:00, From: Open To: Resolved",0,16,686,2,-1
CLOUDSTACK-9589,2016-11-10,,0,17,904,1,-2
CLOUDSTACK-9588,2016-11-10,,0,20,1224,2,-2
CLOUDSTACK-9587,2016-11-10,,0,0,2,1,-1
CLOUDSTACK-9586,2016-11-09,"Date: 2016-11-16T02:22:56.824-08:00, From: Open To: In ProgressDate: 2016-11-16T02:23:04.881-08:00, From: In Progress To: OpenDate: 2016-11-16T02:23:14.024-08:00, From: Open To: In ProgressDate: 2016-11-16T02:23:35.089-08:00, From: In Progress To: ResolvedDate: 2016-11-16T02:23:54.176-08:00, From: Resolved To: ReopenedDate: 2016-11-16T02:24:00.783-08:00, From: Reopened To: In ProgressDate: 2017-12-19T00:58:56.143-08:00, From: In Progress To: Resolved",2,36,10716,2,-2
CLOUDSTACK-9585,2016-11-09,,0,9,498,1,-2
CLOUDSTACK-9584,2016-11-09,"Date: 2016-11-09T05:37:18.899-08:00, From: Open To: In ProgressDate: 2017-01-06T03:21:53.545-08:00, From: In Progress To: ReviewableDate: 2017-08-10T04:28:53.245-07:00, From: Reviewable To: Resolved",0,37,2286,2,-2
CLOUDSTACK-9583,2016-11-08,,0,44,5884,3,-2
CLOUDSTACK-9582,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9581,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9580,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9579,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9578,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9577,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9576,2016-11-07,,0,0,2,1,-1
CLOUDSTACK-9575,2016-11-04,"Date: 2017-12-17T11:48:15.076-08:00, From: Open To: Closed",0,3,91,1,-1
CLOUDSTACK-9574,2016-10-31,"Date: 2017-03-02T12:15:30.718-08:00, From: Open To: Closed",0,30,1985,2,-1
CLOUDSTACK-9573,2016-10-27,,0,0,2,1,-1
CLOUDSTACK-9572,2016-10-27,,0,53,4312,3,-3
CLOUDSTACK-9571,2016-10-27,,0,0,2,1,-1
CLOUDSTACK-9570,2016-10-26,"Date: 2017-03-02T12:14:05.279-08:00, From: Open To: Closed",0,54,3884,2,-3
CLOUDSTACK-9569,2016-10-26,"Date: 2017-12-19T00:59:17.345-08:00, From: Open To: Resolved",0,41,3295,3,-2
CLOUDSTACK-9568,2016-10-25,,0,2,43,1,-1
CLOUDSTACK-9567,2016-10-25,,0,23,1455,1,-2
CLOUDSTACK-9566,2016-10-25,,0,14,461,2,-2
