ID,date,history,reopenings,comments,numWords,score1,score2
FELIX-5843,2018-05-02,,0,1,53,1,-1
FELIX-5842,2018-04-27,,0,0,2,1,-1
FELIX-5841,2018-04-26,"Date: 2018-04-26T23:59:00.197-07:00, From: Open To: In Progress",0,1,37,1,-1
FELIX-5840,2018-04-21,,0,0,2,1,-1
FELIX-5839,2018-04-20,"Date: 2018-04-20T06:56:13.694-07:00, From: Open To: Resolved",0,1,20,1,-1
FELIX-5838,2018-04-20,"Date: 2018-04-20T01:23:12.936-07:00, From: Open To: In ProgressDate: 2018-04-30T06:19:18.026-07:00, From: In Progress To: Resolved",0,2,84,1,-1
FELIX-5837,2018-04-19,"Date: 2018-04-19T11:09:06.575-07:00, From: Open To: Resolved",0,1,20,1,-1
FELIX-5836,2018-04-19,"Date: 2018-04-19T11:09:23.133-07:00, From: Open To: Resolved",0,1,20,1,-1
FELIX-5835,2018-04-19,"Date: 2018-04-19T11:09:46.756-07:00, From: Open To: Resolved",0,1,20,1,-1
FELIX-5834,2018-04-19,"Date: 2018-04-19T11:08:34.929-07:00, From: Open To: Resolved",0,1,20,1,-1
FELIX-5833,2018-04-19,"Date: 2018-04-19T11:08:47.668-07:00, From: Open To: Resolved",0,1,20,1,-1
FELIX-5832,2018-04-19,"Date: 2018-04-19T10:54:00.047-07:00, From: Open To: Resolved",0,1,86,1,-2
FELIX-5831,2018-04-16,"Date: 2018-04-16T23:00:46.432-07:00, From: Open To: Resolved",0,3,121,2,-2
FELIX-5830,2018-04-13,,0,0,2,1,-1
FELIX-5829,2018-04-13,"Date: 2018-04-23T13:46:17.433-07:00, From: Open To: Resolved",0,1,34,1,-1
FELIX-5828,2018-04-13,,0,0,2,1,-1
FELIX-5827,2018-04-13,"Date: 2018-04-13T14:36:06.153-07:00, From: Open To: Resolved",0,1,21,1,-1
FELIX-5826,2018-04-13,"Date: 2018-04-13T14:31:39.209-07:00, From: Open To: Resolved",0,1,21,1,-1
FELIX-5825,2018-04-13,"Date: 2018-04-13T14:26:18.675-07:00, From: Open To: Resolved",0,1,21,1,-1
FELIX-5824,2018-04-13,"Date: 2018-04-13T14:25:30.296-07:00, From: Open To: Resolved",0,1,21,1,-1
FELIX-5823,2018-04-06,"Date: 2018-04-06T14:55:42.568-07:00, From: Open To: Resolved",0,1,21,1,-1
FELIX-5822,2018-04-04,"Date: 2018-04-04T06:27:38.416-07:00, From: Open To: Resolved",0,1,23,1,-1
FELIX-5821,2018-04-04,"Date: 2018-04-04T05:08:15.926-07:00, From: Open To: Resolved",0,1,23,1,-1
