ID,date,history,reopenings,comments,numWords,score1,score2
FELIX-2851,2011-02-18,"Date: 2011-02-21T01:28:13.233-08:00, From: Open To: Resolved",0,3,228,1,-2
FELIX-2850,2011-02-18,"Date: 2011-02-21T01:27:46.765-08:00, From: Open To: Resolved",0,3,156,1,-1
FELIX-2849,2011-02-17,"Date: 2011-02-21T01:27:35.790-08:00, From: Open To: Resolved",0,5,270,2,-1
FELIX-2848,2011-02-17,"Date: 2011-02-17T23:49:23.729-08:00, From: Open To: ResolvedDate: 2015-03-17T00:00:47.273-07:00, From: Resolved To: Closed",0,2,47,1,-1
FELIX-2847,2011-02-17,"Date: 2011-02-18T05:11:43.447-08:00, From: Open To: ResolvedDate: 2013-09-25T07:02:35.297-07:00, From: Resolved To: Closed",0,3,81,1,-1
FELIX-2846,2011-02-16,,0,1,21,1,-1
FELIX-2845,2011-02-16,"Date: 2011-02-16T07:54:32.998-08:00, From: Open To: ResolvedDate: 2013-02-04T04:34:32.205-08:00, From: Resolved To: Closed",0,2,30,2,-1
FELIX-2844,2011-02-16,"Date: 2011-02-18T11:14:35.564-08:00, From: Open To: Closed",0,2,111,1,-1
FELIX-2843,2011-02-15,"Date: 2011-02-16T08:30:00.125-08:00, From: Open To: ResolvedDate: 2015-03-17T00:00:47.064-07:00, From: Resolved To: Closed",0,2,87,1,-1
FELIX-2842,2011-02-15,"Date: 2011-02-15T10:08:42.258-08:00, From: Open To: ResolvedDate: 2013-02-04T04:34:26.880-08:00, From: Resolved To: Closed",0,1,25,1,-1
FELIX-2841,2011-02-15,"Date: 2011-02-15T12:57:07.899-08:00, From: Open To: ClosedDate: 2011-02-21T01:31:31.640-08:00, From: Closed To: ReopenedDate: 2011-02-21T01:34:26.347-08:00, From: Reopened To: Resolved",1,1,103,1,-2
FELIX-2840,2011-02-15,"Date: 2011-02-15T08:01:25.899-08:00, From: Open To: ClosedDate: 2011-02-21T01:31:31.119-08:00, From: Closed To: ReopenedDate: 2011-02-21T01:33:43.904-08:00, From: Reopened To: Resolved",1,1,34,1,-1
FELIX-2839,2011-02-13,"Date: 2011-12-17T11:16:07.489-08:00, From: Open To: Closed",0,4,328,1,-4
FELIX-2838,2011-02-11,"Date: 2011-02-22T09:16:50.381-08:00, From: Open To: ResolvedDate: 2011-03-13T05:55:19.988-07:00, From: Resolved To: Closed",0,1,27,1,-1
FELIX-2837,2011-02-11,"Date: 2011-02-11T05:04:31.354-08:00, From: Open To: Resolved",0,2,202,1,-3
FELIX-2836,2011-02-10,"Date: 2011-02-10T08:46:11.381-08:00, From: Open To: ResolvedDate: 2011-03-07T04:14:26.033-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-2835,2011-02-10,"Date: 2011-02-21T07:48:37.013-08:00, From: Open To: ResolvedDate: 2011-03-13T05:55:51.920-07:00, From: Resolved To: Closed",0,1,36,1,-1
FELIX-2834,2011-02-10,"Date: 2011-02-16T22:57:30.315-08:00, From: Open To: ResolvedDate: 2013-02-04T04:34:26.483-08:00, From: Resolved To: Closed",0,3,117,1,-1
FELIX-2833,2011-02-09,"Date: 2011-02-09T03:18:29.291-08:00, From: Open To: ResolvedDate: 2013-02-04T04:33:19.893-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-2832,2011-02-08,"Date: 2011-02-09T07:00:22.835-08:00, From: Open To: ResolvedDate: 2011-02-09T07:00:29.362-08:00, From: Resolved To: ClosedDate: 2011-02-21T01:31:31.468-08:00, From: Closed To: ReopenedDate: 2011-02-21T01:32:23.165-08:00, From: Reopened To: Resolved",1,1,30,1,-1
FELIX-2831,2011-02-08,,0,0,2,1,-1
FELIX-2830,2011-02-08,"Date: 2011-02-08T01:06:04.882-08:00, From: Open To: ResolvedDate: 2012-11-22T22:54:48.491-08:00, From: Resolved To: Closed",0,3,32,1,-1
FELIX-2829,2011-02-07,"Date: 2011-02-07T07:56:29.880-08:00, From: Open To: ResolvedDate: 2013-02-04T04:33:22.292-08:00, From: Resolved To: Closed",0,1,24,1,-1
FELIX-2828,2011-02-07,"Date: 2011-02-07T04:39:58.515-08:00, From: Open To: ResolvedDate: 2011-02-07T04:40:16.129-08:00, From: Resolved To: Closed",0,1,26,1,-1
FELIX-2827,2011-02-06,"Date: 2011-02-07T08:19:48.891-08:00, From: Open To: Resolved",0,1,31,2,-1
FELIX-2826,2011-02-06,"Date: 2011-03-24T12:38:48.426-07:00, From: Open To: Closed",0,9,307,3,-1
FELIX-2825,2011-02-05,"Date: 2011-02-07T07:56:18.132-08:00, From: Open To: ResolvedDate: 2013-02-04T04:34:27.274-08:00, From: Resolved To: Closed",0,4,258,2,-3
FELIX-2824,2011-02-04,"Date: 2011-02-04T14:06:24.345-08:00, From: Open To: ResolvedDate: 2012-11-20T02:58:16.073-08:00, From: Resolved To: Closed",0,5,144,1,-1
FELIX-2823,2011-02-03,"Date: 2011-02-03T14:30:03.107-08:00, From: Open To: ResolvedDate: 2012-11-20T02:58:18.614-08:00, From: Resolved To: Closed",0,2,35,1,-1
FELIX-2822,2011-02-03,"Date: 2011-02-09T14:49:01.612-08:00, From: Open To: ClosedDate: 2011-02-09T14:54:33.586-08:00, From: Closed To: ReopenedDate: 2011-02-09T14:55:42.775-08:00, From: Reopened To: ClosedDate: 2011-02-21T01:31:31.272-08:00, From: Closed To: ReopenedDate: 2011-02-21T01:34:15.646-08:00, From: Reopened To: Resolved",2,1,173,1,-1
FELIX-2821,2011-02-03,"Date: 2011-02-03T12:32:56.387-08:00, From: Open To: ResolvedDate: 2012-11-20T02:58:14.933-08:00, From: Resolved To: Closed",0,5,87,2,-1
FELIX-2820,2011-02-02,"Date: 2011-06-24T13:55:59.889-07:00, From: Open To: ResolvedDate: 2011-10-11T10:09:19.507-07:00, From: Resolved To: Closed",0,1,19,1,-1
FELIX-2819,2011-02-02,"Date: 2011-06-24T11:21:37.100-07:00, From: Open To: ResolvedDate: 2011-10-11T10:09:20.532-07:00, From: Resolved To: Closed",0,6,421,3,-3
FELIX-2818,2011-02-02,"Date: 2011-02-02T01:46:02.284-08:00, From: Open To: ResolvedDate: 2015-03-17T00:01:12.226-07:00, From: Resolved To: Closed",0,2,32,1,-1
FELIX-2817,2011-02-01,"Date: 2011-02-01T12:56:37.623-08:00, From: Open To: ResolvedDate: 2015-08-01T04:26:50.930-07:00, From: Resolved To: Closed",0,3,64,1,-1
FELIX-2816,2011-01-31,"Date: 2011-11-13T12:28:28.809-08:00, From: Open To: Resolved",0,2,95,2,-1
FELIX-2815,2011-01-31,"Date: 2011-02-01T10:36:03.852-08:00, From: Open To: ResolvedDate: 2011-02-06T16:04:16.672-08:00, From: Resolved To: ReopenedDate: 2011-03-13T11:07:44.739-07:00, From: Reopened To: ResolvedDate: 2013-02-04T04:34:28.744-08:00, From: Resolved To: Closed",1,12,959,3,-2
FELIX-2814,2011-01-31,"Date: 2011-02-01T10:16:05.728-08:00, From: Open To: ResolvedDate: 2013-02-04T04:34:30.773-08:00, From: Resolved To: Closed",0,1,37,2,-1
FELIX-2813,2011-01-31,"Date: 2011-02-01T04:43:17.832-08:00, From: Open To: ResolvedDate: 2013-09-25T07:02:34.754-07:00, From: Resolved To: Closed",0,7,291,2,-1
FELIX-2812,2011-01-28,"Date: 2011-01-28T18:08:20.304-08:00, From: Open To: ResolvedDate: 2011-06-24T05:36:55.177-07:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-2811,2011-01-28,"Date: 2011-01-28T17:26:57.546-08:00, From: Open To: ResolvedDate: 2011-06-24T05:36:50.462-07:00, From: Resolved To: Closed",0,2,58,1,-1
FELIX-2810,2011-01-28,"Date: 2011-01-28T01:51:10.745-08:00, From: Open To: Closed",0,1,30,1,-1
FELIX-2809,2011-01-27,"Date: 2011-01-27T12:59:15.649-08:00, From: Open To: ResolvedDate: 2015-08-01T04:27:05.836-07:00, From: Resolved To: Closed",0,6,285,1,-2
FELIX-2808,2011-01-27,"Date: 2011-01-27T10:32:38.024-08:00, From: Open To: ResolvedDate: 2011-06-24T05:36:50.983-07:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-2807,2011-01-27,"Date: 2015-11-19T13:47:42.728-08:00, From: Open To: Resolved",0,0,2,1,-1
FELIX-2806,2011-01-26,"Date: 2011-01-26T01:03:04.912-08:00, From: Open To: ResolvedDate: 2011-02-08T01:46:43.638-08:00, From: Resolved To: Closed",0,2,29,1,-1
FELIX-2805,2011-01-25,"Date: 2011-01-30T07:03:59.214-08:00, From: Open To: Closed",0,1,30,1,-1
FELIX-2804,2011-01-25,"Date: 2011-02-21T08:49:34.701-08:00, From: Open To: Closed",0,2,123,1,-1
FELIX-2803,2011-01-25,"Date: 2014-05-07T02:07:13.256-07:00, From: Open To: ResolvedDate: 2015-08-01T02:22:23.132-07:00, From: Resolved To: Closed",0,2,55,1,-1
FELIX-2802,2011-01-24,"Date: 2011-01-26T11:50:31.083-08:00, From: Open To: Closed",0,1,32,1,-1
FELIX-2801,2011-01-24,"Date: 2011-01-25T02:36:17.477-08:00, From: Open To: ResolvedDate: 2011-02-08T01:46:44.242-08:00, From: Resolved To: Closed",0,2,56,1,-1
FELIX-2800,2011-01-24,"Date: 2011-01-24T10:08:22.869-08:00, From: Open To: Closed",0,1,30,1,-1
FELIX-2799,2011-01-24,"Date: 2011-01-24T06:43:09.314-08:00, From: Open To: ResolvedDate: 2015-03-17T00:01:21.478-07:00, From: Resolved To: Closed",0,0,2,1,-1
FELIX-2798,2011-01-24,"Date: 2011-01-24T07:50:58.836-08:00, From: Open To: ResolvedDate: 2015-03-17T00:01:30.710-07:00, From: Resolved To: Closed",0,0,2,1,-1
FELIX-2797,2011-01-24,"Date: 2014-02-12T00:29:00.114-08:00, From: Open To: ResolvedDate: 2014-06-13T02:27:14.790-07:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-2796,2011-01-23,"Date: 2011-02-10T09:35:24.114-08:00, From: Open To: Resolved",0,5,441,2,-2
FELIX-2795,2011-01-22,"Date: 2011-01-22T08:54:41.955-08:00, From: Open To: ResolvedDate: 2016-12-19T09:23:06.779-08:00, From: Resolved To: Closed",0,1,22,1,-1
FELIX-2794,2011-01-20,"Date: 2012-03-16T03:05:01.039-07:00, From: Open To: Closed",0,0,2,1,-1
FELIX-2793,2011-01-20,"Date: 2011-01-20T00:22:23.546-08:00, From: Open To: ResolvedDate: 2016-12-19T09:23:07.546-08:00, From: Resolved To: Closed",0,1,24,1,-1
FELIX-2792,2011-01-19,"Date: 2017-02-24T05:09:20.674-08:00, From: Open To: Closed",0,0,2,1,-1
FELIX-2791,2011-01-19,"Date: 2011-01-20T17:08:43.823-08:00, From: Open To: ResolvedDate: 2015-03-17T00:01:37.295-07:00, From: Resolved To: Closed",0,6,267,2,-1
FELIX-2790,2011-01-19,,0,0,2,1,-1
FELIX-2789,2011-01-18,"Date: 2011-01-19T09:58:37.248-08:00, From: Open To: Closed",0,1,30,1,-1
FELIX-2788,2011-01-18,"Date: 2011-01-24T07:32:55.134-08:00, From: Open To: ResolvedDate: 2011-02-08T01:46:43.166-08:00, From: Resolved To: Closed",0,4,278,1,-1
