ID,date,history,reopenings,comments,numWords,score1,score2
GROOVY-7575,2015-09-02,,0,0,2,1,-1
GROOVY-7574,2015-09-01,"Date: 2015-10-14T20:02:51.632-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:02.900-07:00, From: Resolved To: Closed",0,10,385,4,-2
GROOVY-7573,2015-09-01,"Date: 2017-09-13T17:31:41.761-07:00, From: Open To: Closed",0,6,188,3,-3
GROOVY-7572,2015-08-31,"Date: 2015-09-12T17:39:51.908-07:00, From: Open To: ResolvedDate: 2017-05-01T19:02:59.623-07:00, From: Resolved To: Closed",0,2,49,2,-1
GROOVY-7571,2015-08-31,,0,1,78,1,-1
GROOVY-7570,2015-08-30,"Date: 2015-08-31T21:31:12.029-07:00, From: Open To: Closed",0,3,56,2,-1
GROOVY-7569,2015-08-28,"Date: 2017-08-28T05:53:15.554-07:00, From: Open To: ResolvedDate: 2018-03-06T15:25:37.633-08:00, From: Resolved To: Closed",0,7,676,2,-2
GROOVY-7568,2015-08-28,,0,0,2,1,-1
GROOVY-7567,2015-08-28,"Date: 2015-09-01T11:25:26.252-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:20.898-07:00, From: Resolved To: Closed",0,1,24,2,-1
GROOVY-7566,2015-08-28,"Date: 2015-09-01T11:24:04.675-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:28.641-07:00, From: Resolved To: Closed",0,1,24,2,-1
GROOVY-7565,2015-08-28,"Date: 2015-09-01T11:26:30.586-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:05.074-07:00, From: Resolved To: Closed",0,1,24,2,-1
GROOVY-7564,2015-08-28,"Date: 2015-09-08T03:00:48.572-07:00, From: Open To: ResolvedDate: 2015-10-19T09:05:12.260-07:00, From: Resolved To: Closed",0,12,1305,2,-4
GROOVY-7563,2015-08-28,"Date: 2016-07-29T21:45:04.246-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:12.107-07:00, From: Resolved To: Closed",0,8,1105,3,-2
GROOVY-7562,2015-08-28,"Date: 2015-09-01T11:39:50.546-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:14.191-07:00, From: Resolved To: Closed",0,3,81,2,-1
GROOVY-7561,2015-08-27,"Date: 2015-08-30T04:13:46.071-07:00, From: Open To: Closed",0,2,39,1,-1
GROOVY-7560,2015-08-26,,0,1,37,1,-1
GROOVY-7559,2015-08-25,"Date: 2015-08-26T00:54:11.896-07:00, From: Open To: ResolvedDate: 2017-02-01T15:17:13.125-08:00, From: Resolved To: Closed",0,3,575,2,-2
GROOVY-7558,2015-08-25,"Date: 2016-07-02T10:01:53.031-07:00, From: Open To: ResolvedDate: 2017-02-01T15:18:43.308-08:00, From: Resolved To: Closed",0,7,367,2,-2
GROOVY-7557,2015-08-25,,0,1,177,1,-1
GROOVY-7556,2015-08-24,"Date: 2015-08-26T17:50:49.511-07:00, From: Open To: ResolvedDate: 2015-10-19T09:05:13.979-07:00, From: Resolved To: Closed",0,6,257,4,-2
GROOVY-7555,2015-08-21,"Date: 2015-08-25T06:26:36.407-07:00, From: Open To: Closed",0,1,62,1,-2
GROOVY-7554,2015-08-21,,0,0,2,1,-1
GROOVY-7553,2015-08-19,"Date: 2015-08-19T18:24:27.754-07:00, From: Open To: ResolvedDate: 2015-10-19T09:05:11.966-07:00, From: Resolved To: Closed",0,2,101,1,-2
GROOVY-7552,2015-08-19,"Date: 2015-11-01T03:51:23.853-08:00, From: Open To: ResolvedDate: 2017-05-01T19:03:38.765-07:00, From: Resolved To: Closed",0,16,388,2,-3
GROOVY-7551,2015-08-18,"Date: 2015-08-20T04:52:46.176-07:00, From: Open To: ResolvedDate: 2015-10-19T09:05:12.110-07:00, From: Resolved To: Closed",0,5,239,1,-2
GROOVY-7550,2015-08-18,"Date: 2015-08-20T06:36:33.070-07:00, From: Open To: ResolvedDate: 2016-01-15T21:08:06.753-08:00, From: Resolved To: Closed",0,1,32,1,-1
GROOVY-7549,2015-08-17,,0,1,123,1,-1
GROOVY-7548,2015-08-13,"Date: 2015-08-30T03:05:34.499-07:00, From: Open To: ResolvedDate: 2015-10-19T09:05:12.560-07:00, From: Resolved To: Closed",0,6,285,1,-3
GROOVY-7547,2015-08-12,,0,1,56,1,-1
GROOVY-7546,2015-08-12,"Date: 2015-10-15T00:05:15.854-07:00, From: Open To: ResolvedDate: 2016-02-22T12:48:36.362-08:00, From: Resolved To: Closed",0,3,126,2,-2
GROOVY-7545,2015-08-11,"Date: 2015-08-20T11:28:16.672-07:00, From: Open To: ResolvedDate: 2015-08-20T11:59:42.121-07:00, From: Resolved To: ReopenedDate: 2015-08-20T12:04:56.496-07:00, From: Reopened To: ResolvedDate: 2017-02-01T15:17:17.275-08:00, From: Resolved To: Closed",1,5,316,3,-1
GROOVY-7544,2015-08-07,,0,1,95,1,-2
GROOVY-7543,2015-08-07,"Date: 2015-08-24T19:31:31.090-07:00, From: Open To: In ProgressDate: 2015-09-01T12:21:10.000-07:00, From: In Progress To: ResolvedDate: 2015-09-01T12:35:40.106-07:00, From: Resolved To: Closed",0,5,137,2,-2
GROOVY-7542,2015-08-06,"Date: 2016-08-09T01:06:20.509-07:00, From: Open To: ResolvedDate: 2017-02-01T15:18:58.995-08:00, From: Resolved To: Closed",0,4,511,2,-2
GROOVY-7541,2015-08-05,"Date: 2016-10-05T06:03:30.599-07:00, From: Open To: ResolvedDate: 2016-11-01T17:14:46.014-07:00, From: Resolved To: Closed",0,6,861,2,-2
GROOVY-7540,2015-08-03,"Date: 2015-08-10T20:29:02.285-07:00, From: Open To: ResolvedDate: 2017-05-01T19:03:29.095-07:00, From: Resolved To: Closed",0,21,1516,2,-3
GROOVY-7539,2015-08-03,"Date: 2015-08-03T09:48:16.572-07:00, From: Open To: Closed",0,0,2,1,-1
GROOVY-7538,2015-08-01,"Date: 2015-11-28T12:00:16.381-08:00, From: Open To: ResolvedDate: 2016-02-22T12:48:30.044-08:00, From: Resolved To: Closed",0,8,498,2,-2
GROOVY-7537,2015-08-01,,0,0,2,1,-1
GROOVY-7536,2015-08-01,,0,0,2,1,-1
GROOVY-7535,2015-07-31,"Date: 2015-11-01T05:40:29.388-08:00, From: Open To: ResolvedDate: 2016-02-22T12:48:38.921-08:00, From: Resolved To: ClosedDate: 2017-05-25T17:05:21.504-07:00, From: Closed To: ReopenedDate: 2017-05-25T17:07:33.242-07:00, From: Reopened To: ResolvedDate: 2018-03-06T15:14:47.245-08:00, From: Resolved To: Closed",1,52,2933,3,-3
GROOVY-7534,2015-07-30,,0,0,2,1,-1
GROOVY-7533,2015-07-30,"Date: 2015-10-15T10:26:08.876-07:00, From: Open To: ResolvedDate: 2016-02-22T12:48:31.805-08:00, From: Resolved To: Closed",0,1,22,2,-1
