ID,date,history,reopenings,comments,numWords,score1,score2
GROOVY-4587,2010-12-16,"Date: 2010-12-27T07:18:08.205-08:00, From: Open To: Closed",0,2,56,3,-1
GROOVY-4586,2010-12-16,"Date: 2011-03-03T22:03:10.970-08:00, From: Open To: Closed",0,1,48,1,-1
GROOVY-4585,2010-12-16,"Date: 2010-12-19T00:29:01.444-08:00, From: Open To: ResolvedDate: 2011-02-08T15:25:38.647-08:00, From: Resolved To: ClosedDate: 2018-04-06T06:45:33.237-07:00, From: Closed To: ReopenedDate: 2018-04-06T07:31:00.748-07:00, From: Reopened To: Resolved",1,7,182,3,-2
GROOVY-4584,2010-12-16,"Date: 2010-12-21T21:20:59.251-08:00, From: Open To: ResolvedDate: 2011-02-08T15:25:39.352-08:00, From: Resolved To: Closed",0,3,142,2,-1
GROOVY-4583,2010-12-14,,0,1,30,2,-1
GROOVY-4582,2010-12-14,"Date: 2013-03-25T22:48:52.429-07:00, From: Open To: ResolvedDate: 2013-04-12T09:55:13.924-07:00, From: Resolved To: Closed",0,3,69,1,-2
GROOVY-4581,2010-12-14,"Date: 2010-12-14T00:37:01.135-08:00, From: Open To: Closed",0,1,20,1,-1
GROOVY-4580,2010-12-13,"Date: 2011-04-12T06:43:35.579-07:00, From: Open To: Closed",0,1,51,1,-1
GROOVY-4579,2010-12-13,"Date: 2016-01-15T08:27:17.698-08:00, From: Open To: ResolvedDate: 2017-02-01T15:17:15.533-08:00, From: Resolved To: Closed",0,2,86,1,-4
GROOVY-4578,2010-12-10,"Date: 2010-12-11T21:23:53.132-08:00, From: Open To: ResolvedDate: 2010-12-15T08:56:55.460-08:00, From: Resolved To: Closed",0,1,64,1,-2
GROOVY-4577,2010-12-10,"Date: 2014-12-05T20:46:35.926-08:00, From: Open To: Closed",0,3,157,2,-1
GROOVY-4576,2010-12-10,"Date: 2011-11-10T05:59:55.497-08:00, From: Open To: Closed",0,4,163,2,-2
GROOVY-4575,2010-12-09,"Date: 2012-06-15T15:54:32.220-07:00, From: Open To: ResolvedDate: 2012-06-15T15:54:42.117-07:00, From: Resolved To: Closed",0,6,148,2,-2
GROOVY-4574,2010-12-09,"Date: 2011-02-08T15:18:44.644-08:00, From: Open To: ResolvedDate: 2011-02-08T15:25:38.888-08:00, From: Resolved To: Closed",0,1,21,1,-1
GROOVY-4573,2010-12-09,"Date: 2010-12-09T17:58:38.353-08:00, From: Open To: Closed",0,6,125,3,-3
GROOVY-4572,2010-12-09,"Date: 2013-01-03T18:30:21.779-08:00, From: Open To: ResolvedDate: 2013-01-12T12:40:03.168-08:00, From: Resolved To: Closed",0,11,453,2,-2
GROOVY-4571,2010-12-08,"Date: 2011-09-29T21:02:14.667-07:00, From: Open To: Closed",0,3,65,1,-1
GROOVY-4570,2010-12-08,"Date: 2011-06-05T17:25:24.406-07:00, From: Open To: ResolvedDate: 2011-07-21T12:06:33.618-07:00, From: Resolved To: Closed",0,1,26,1,-1
GROOVY-4569,2010-12-08,"Date: 2010-12-09T05:55:29.209-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:29.772-08:00, From: Resolved To: ClosedDate: 2011-11-08T21:28:38.072-08:00, From: Closed To: ReopenedDate: 2011-11-09T19:05:18.369-08:00, From: Reopened To: Closed",1,1,22,1,-1
GROOVY-4568,2010-12-08,"Date: 2010-12-26T13:59:02.377-08:00, From: Open To: Closed",0,2,43,1,-1
GROOVY-4567,2010-12-07,"Date: 2010-12-08T05:00:10.625-08:00, From: Open To: ResolvedDate: 2010-12-15T08:57:03.815-08:00, From: Resolved To: Closed",0,1,51,1,-1
GROOVY-4566,2010-12-07,"Date: 2010-12-08T04:09:17.883-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:30.081-08:00, From: Resolved To: Closed",0,1,2,1,-1
GROOVY-4565,2010-12-07,,0,0,2,1,-1
GROOVY-4564,2010-12-07,"Date: 2010-12-07T04:48:43.434-08:00, From: Open To: ResolvedDate: 2010-12-15T08:56:58.069-08:00, From: Resolved To: Closed",0,1,21,1,-1
GROOVY-4563,2010-12-05,,0,0,2,1,-1
GROOVY-4562,2010-12-05,,0,6,311,2,-3
GROOVY-4561,2010-12-04,"Date: 2010-12-10T05:52:53.807-08:00, From: Open To: Closed",0,12,380,1,-2
GROOVY-4560,2010-12-04,"Date: 2010-12-04T23:04:56.747-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:45.214-08:00, From: Resolved To: Closed",0,0,2,1,-1
GROOVY-4559,2010-12-04,"Date: 2011-08-29T07:08:16.848-07:00, From: Open To: Closed",0,1,20,1,-1
GROOVY-4558,2010-12-04,"Date: 2016-05-26T22:28:17.146-07:00, From: Open To: Closed",0,4,156,1,-2
GROOVY-4557,2010-12-03,"Date: 2011-07-19T21:37:09.992-07:00, From: Open To: Closed",0,3,254,1,-1
GROOVY-4556,2010-12-03,"Date: 2013-01-27T19:35:18.630-08:00, From: Open To: ResolvedDate: 2013-02-15T16:47:31.184-08:00, From: Resolved To: Closed",0,2,42,1,-1
GROOVY-4555,2010-12-03,"Date: 2010-12-06T19:28:29.818-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:32.484-08:00, From: Resolved To: Closed",0,3,97,2,-1
GROOVY-4554,2010-12-02,,0,1,176,1,-1
GROOVY-4553,2010-12-02,"Date: 2011-04-12T03:49:43.343-07:00, From: Open To: Closed",0,4,134,1,-2
GROOVY-4552,2010-12-01,"Date: 2010-12-03T18:47:04.425-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:26.117-08:00, From: Resolved To: Closed",0,1,22,1,-1
GROOVY-4551,2010-12-01,"Date: 2010-12-03T18:47:31.238-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:34.987-08:00, From: Resolved To: Closed",0,3,59,1,-1
GROOVY-4550,2010-12-01,"Date: 2010-12-01T21:38:05.532-08:00, From: Open To: ResolvedDate: 2010-12-15T14:31:27.543-08:00, From: Resolved To: Closed",0,0,2,1,-1
