ID,date,history,reopenings,comments,numWords,score1,score2
HADOOP-13381,2016-07-15,"Date: 2016-07-15T15:49:12.535-07:00, From: Open To: Patch AvailableDate: 2016-07-28T18:46:12.819-07:00, From: Patch Available To: Resolved",0,26,2810,3,-3
HADOOP-13380,2016-07-15,"Date: 2016-07-21T10:40:05.507-07:00, From: Open To: Patch AvailableDate: 2016-08-08T15:09:37.502-07:00, From: Patch Available To: Resolved",0,9,965,2,-2
HADOOP-13379,2016-07-14,"Date: 2016-07-15T02:13:42.084-07:00, From: Open To: ResolvedDate: 2016-07-15T02:13:49.340-07:00, From: Resolved To: Closed",0,1,40,1,-1
HADOOP-13378,2016-07-14,,0,2,230,1,-1
HADOOP-13377,2016-07-14,,0,7,158,1,-2
HADOOP-13376,2016-07-13,,0,0,2,1,-1
HADOOP-13375,2016-07-13,"Date: 2016-08-25T00:21:47.168-07:00, From: Open To: Patch AvailableDate: 2016-09-01T11:22:22.968-07:00, From: Patch Available To: Resolved",0,28,2971,2,-2
HADOOP-13374,2016-07-13,"Date: 2016-07-13T13:09:17.782-07:00, From: Open To: Patch AvailableDate: 2018-02-23T17:08:07.040-08:00, From: Patch Available To: Resolved",0,18,1882,3,-2
HADOOP-13373,2016-07-13,,0,1,33,1,-1
HADOOP-13372,2016-07-13,"Date: 2016-07-13T17:05:54.869-07:00, From: Open To: Patch Available",0,15,1360,3,-2
HADOOP-13371,2016-07-13,"Date: 2016-07-18T06:31:57.914-07:00, From: Open To: In ProgressDate: 2016-09-19T06:48:59.306-07:00, From: In Progress To: OpenDate: 2017-03-18T10:55:03.095-07:00, From: Open To: Patch AvailableDate: 2017-06-26T07:11:35.215-07:00, From: Patch Available To: OpenDate: 2018-02-12T05:11:47.634-08:00, From: Open To: Resolved",2,18,2256,3,-4
HADOOP-13370,2016-07-12,"Date: 2016-07-13T03:37:32.723-07:00, From: Open To: ResolvedDate: 2016-07-13T09:43:07.724-07:00, From: Resolved To: Closed",0,2,66,1,-1
HADOOP-13369,2016-07-12,,0,3,341,2,-1
HADOOP-13368,2016-07-12,"Date: 2016-07-12T15:35:25.377-07:00, From: Open To: Patch AvailableDate: 2016-07-15T15:20:35.691-07:00, From: Patch Available To: Resolved",0,7,694,1,-2
HADOOP-13367,2016-07-12,"Date: 2016-09-20T10:15:31.299-07:00, From: Open To: Resolved",0,4,327,3,-4
HADOOP-13366,2016-07-11,"Date: 2016-07-11T10:47:12.625-07:00, From: Open To: Patch AvailableDate: 2016-07-13T13:11:47.613-07:00, From: Patch Available To: Resolved",0,20,2144,3,-2
HADOOP-13365,2016-07-11,"Date: 2016-08-30T23:04:53.354-07:00, From: Open To: Patch Available",0,9,1425,2,-2
