ID,date,history,reopenings,comments,numWords,score1,score2
HADOOP-8111,2012-02-24,"Date: 2012-02-26T18:15:02.568-08:00, From: Open To: Resolved",0,1,26,1,-1
HADOOP-8110,2012-02-24,"Date: 2012-06-28T13:56:38.496-07:00, From: Open To: Patch AvailableDate: 2012-06-28T14:36:21.729-07:00, From: Patch Available To: OpenDate: 2012-06-28T14:49:29.224-07:00, From: Open To: Patch AvailableDate: 2012-07-03T13:31:12.338-07:00, From: Patch Available To: ResolvedDate: 2012-10-11T10:45:06.866-07:00, From: Resolved To: Closed",1,18,1101,2,-3
HADOOP-8109,2012-02-23,"Date: 2012-02-23T17:52:32.320-08:00, From: Open To: Patch AvailableDate: 2014-12-08T11:32:03.908-08:00, From: Patch Available To: Resolved",0,2,281,1,-2
HADOOP-8108,2012-02-23,"Date: 2012-02-23T16:15:50.389-08:00, From: Open To: Patch AvailableDate: 2012-02-24T00:21:09.831-08:00, From: Patch Available To: Resolved",0,15,375,2,-2
HADOOP-8106,2012-02-23,"Date: 2012-02-23T15:26:26.377-08:00, From: Open To: Patch AvailableDate: 2012-02-24T08:24:14.522-08:00, From: Patch Available To: ResolvedDate: 2012-12-19T11:57:00.843-08:00, From: Resolved To: ReopenedDate: 2012-12-19T11:57:15.056-08:00, From: Reopened To: Resolved",1,6,289,1,-2
HADOOP-8105,2012-02-22,"Date: 2012-02-22T20:41:57.889-08:00, From: Open To: Resolved",0,2,53,1,-1
HADOOP-8104,2012-02-22,"Date: 2012-02-28T11:01:55.242-08:00, From: Open To: Patch AvailableDate: 2012-02-28T11:02:14.238-08:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:49.451-07:00, From: Resolved To: Closed",0,37,1382,2,-2
HADOOP-8103,2012-02-22,"Date: 2012-02-26T22:38:10.232-08:00, From: Open To: Patch AvailableDate: 2015-02-08T10:06:34.740-08:00, From: Patch Available To: Resolved",0,6,246,1,-2
HADOOP-8102,2012-02-22,"Date: 2012-02-26T22:48:00.585-08:00, From: Open To: Patch AvailableDate: 2015-02-13T12:45:12.907-08:00, From: Patch Available To: Resolved",0,6,175,1,-2
HADOOP-8101,2012-02-22,"Date: 2012-06-04T10:53:25.497-07:00, From: Open To: Resolved",0,11,1296,2,-2
HADOOP-8100,2012-02-22,"Date: 2012-02-22T14:11:18.287-08:00, From: Open To: Patch AvailableDate: 2014-07-17T08:04:00.252-07:00, From: Patch Available To: OpenDate: 2014-07-17T08:04:14.616-07:00, From: Open To: Resolved",1,5,256,2,-2
HADOOP-8098,2012-02-21,"Date: 2012-02-28T09:46:05.934-08:00, From: Open To: Patch AvailableDate: 2012-02-28T10:47:10.901-08:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:43.992-07:00, From: Resolved To: Closed",0,14,335,1,-2
HADOOP-8097,2012-02-21,"Date: 2012-02-21T05:01:24.390-08:00, From: Open To: In ProgressDate: 2012-02-21T05:24:51.407-08:00, From: In Progress To: Patch AvailableDate: 2012-07-30T10:27:13.275-07:00, From: Patch Available To: Resolved",0,11,744,2,-2
HADOOP-8096,2012-02-21,"Date: 2012-03-06T12:50:08.163-08:00, From: Open To: In Progress",0,6,516,1,-2
HADOOP-8095,2012-02-21,"Date: 2017-02-08T13:44:37.316-08:00, From: Open To: Resolved",0,1,40,1,-1
HADOOP-8094,2012-02-20,"Date: 2012-02-20T09:28:20.859-08:00, From: Open To: Patch AvailableDate: 2012-05-02T23:24:39.098-07:00, From: Patch Available To: Resolved",0,5,306,3,-2
HADOOP-8093,2012-02-20,"Date: 2012-02-20T01:33:00.035-08:00, From: Open To: Patch AvailableDate: 2012-02-21T07:58:14.552-08:00, From: Patch Available To: Resolved",0,5,245,1,-2
HADOOP-8092,2012-02-18,"Date: 2014-08-08T15:21:36.733-07:00, From: Open To: Resolved",0,1,34,1,-1
HADOOP-8091,2012-02-18,"Date: 2012-04-12T09:18:50.567-07:00, From: Open To: Resolved",0,3,111,2,-1
HADOOP-8090,2012-02-17,"Date: 2012-03-18T00:07:55.232-07:00, From: Open To: ResolvedDate: 2012-04-05T11:42:10.613-07:00, From: Resolved To: Closed",0,7,165,2,-1
HADOOP-8089,2012-02-17,"Date: 2012-12-27T14:00:21.773-08:00, From: Open To: Resolved",0,2,185,1,-2
HADOOP-8088,2012-02-17,"Date: 2012-03-09T17:09:10.244-08:00, From: Open To: Patch AvailableDate: 2012-04-04T09:27:43.470-07:00, From: Patch Available To: ResolvedDate: 2012-04-05T11:42:09.546-07:00, From: Resolved To: Closed",0,34,1423,3,-4
HADOOP-8087,2012-02-17,"Date: 2013-07-17T12:02:29.762-07:00, From: Open To: Patch AvailableDate: 2015-05-08T03:09:49.777-07:00, From: Patch Available To: ResolvedDate: 2015-05-08T03:16:09.794-07:00, From: Resolved To: Reopened",1,24,1779,4,-2
HADOOP-8086,2012-02-17,"Date: 2012-04-05T02:43:59.028-07:00, From: Open To: Patch AvailableDate: 2012-04-06T01:48:59.193-07:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:58.618-07:00, From: Resolved To: Closed",0,15,530,2,-2
HADOOP-8085,2012-02-17,"Date: 2012-02-23T10:34:42.345-08:00, From: Open To: Patch AvailableDate: 2012-02-23T20:42:17.475-08:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:45.594-07:00, From: Resolved To: Closed",0,18,707,2,-2
HADOOP-8084,2012-02-16,"Date: 2012-02-20T18:32:55.044-08:00, From: Open To: Patch AvailableDate: 2012-02-20T21:20:49.742-08:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:43.797-07:00, From: Resolved To: Closed",0,16,480,2,-2
HADOOP-8083,2012-02-16,"Date: 2012-02-16T11:54:59.038-08:00, From: Open To: Patch AvailableDate: 2012-02-16T21:51:22.614-08:00, From: Patch Available To: Resolved",0,17,419,1,-2
HADOOP-8082,2012-02-16,"Date: 2012-02-16T08:25:46.053-08:00, From: Open To: Patch AvailableDate: 2012-02-16T10:14:49.197-08:00, From: Patch Available To: Resolved",0,13,295,1,-2
HADOOP-8081,2012-02-16,,0,0,2,1,-1
HADOOP-8080,2012-02-15,"Date: 2015-02-13T12:43:17.925-08:00, From: Open To: Resolved",0,4,2696,1,-1
HADOOP-8079,2012-02-15,"Date: 2014-02-11T09:54:04.944-08:00, From: Open To: Resolved",0,31,1907,3,-3
HADOOP-8078,2012-02-15,"Date: 2012-02-27T13:57:02.331-08:00, From: Open To: Patch AvailableDate: 2012-02-27T14:33:35.988-08:00, From: Patch Available To: OpenDate: 2012-02-27T16:59:40.603-08:00, From: Open To: Patch AvailableDate: 2012-02-27T22:20:42.528-08:00, From: Patch Available To: Resolved",1,16,1134,2,-2
HADOOP-8077,2012-02-15,"Date: 2012-04-05T21:56:53.855-07:00, From: Open To: ResolvedDate: 2012-05-23T13:15:53.135-07:00, From: Resolved To: Closed",0,11,366,2,-1
HADOOP-8076,2012-02-15,"Date: 2012-02-15T10:53:42.026-08:00, From: Open To: Patch AvailableDate: 2012-10-09T14:23:46.820-07:00, From: Patch Available To: OpenDate: 2014-05-14T14:13:46.954-07:00, From: Open To: Resolved",1,2,124,2,-2
HADOOP-8075,2012-02-15,"Date: 2012-04-06T06:06:57.298-07:00, From: Open To: Patch AvailableDate: 2012-08-22T17:02:16.888-07:00, From: Patch Available To: ResolvedDate: 2012-10-11T10:45:07.718-07:00, From: Resolved To: Closed",0,12,385,2,-2
HADOOP-8074,2012-02-14,"Date: 2012-02-15T13:33:07.737-08:00, From: Open To: Patch AvailableDate: 2012-02-15T14:24:39.584-08:00, From: Patch Available To: Resolved",0,25,1104,3,-2
HADOOP-8073,2012-02-14,,0,0,2,1,-1
HADOOP-8072,2012-02-14,"Date: 2012-02-14T14:02:47.664-08:00, From: Open To: Patch AvailableDate: 2012-03-29T18:02:42.370-07:00, From: Patch Available To: OpenDate: 2015-02-08T10:08:59.481-08:00, From: Open To: Resolved",1,1,27,1,-1
HADOOP-8071,2012-02-13,"Date: 2012-02-13T21:51:08.853-08:00, From: Open To: Patch AvailableDate: 2012-02-14T11:47:51.257-08:00, From: Patch Available To: Resolved",0,14,650,3,-2
HADOOP-8070,2012-02-13,"Date: 2012-02-13T20:46:02.588-08:00, From: Open To: Patch AvailableDate: 2012-02-14T11:30:08.228-08:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:59.815-07:00, From: Resolved To: Closed",0,14,767,3,-2
HADOOP-8069,2012-02-13,"Date: 2012-02-13T21:59:53.350-08:00, From: Open To: Patch AvailableDate: 2012-02-14T11:05:12.300-08:00, From: Patch Available To: OpenDate: 2014-07-28T20:00:46.545-07:00, From: Open To: ResolvedDate: 2014-11-30T19:07:50.746-08:00, From: Resolved To: Closed",1,24,1371,3,-2
HADOOP-8068,2012-02-13,"Date: 2012-02-15T10:20:33.665-08:00, From: Open To: Resolved",0,6,224,2,-2
HADOOP-8067,2012-02-13,"Date: 2012-02-15T11:06:43.785-08:00, From: Open To: Resolved",0,3,98,2,-1
HADOOP-8066,2012-02-13,"Date: 2012-02-15T11:48:01.649-08:00, From: Open To: Patch AvailableDate: 2012-02-16T15:23:52.579-08:00, From: Patch Available To: Resolved",0,24,925,2,-3
HADOOP-8065,2012-02-13,"Date: 2015-11-03T15:20:02.164-08:00, From: Open To: Patch Available",0,38,5356,3,-3
HADOOP-8064,2012-02-13,"Date: 2012-03-01T12:29:02.391-08:00, From: Open To: Patch AvailableDate: 2012-03-05T15:11:36.021-08:00, From: Patch Available To: Resolved",0,19,604,3,-2
HADOOP-8063,2012-02-13,"Date: 2015-03-12T12:31:15.200-07:00, From: Open To: Resolved",0,3,85,1,-1
HADOOP-8061,2012-02-11,,0,2,79,1,-1
HADOOP-8060,2012-02-11,"Date: 2012-08-27T09:46:10.706-07:00, From: Open To: ResolvedDate: 2012-10-11T10:45:03.960-07:00, From: Resolved To: Closed",0,9,1314,2,-2
HADOOP-8059,2012-02-11,"Date: 2012-06-27T11:23:40.722-07:00, From: Open To: Patch AvailableDate: 2012-06-27T12:33:00.139-07:00, From: Patch Available To: ResolvedDate: 2015-04-24T15:49:16.648-07:00, From: Resolved To: Closed",0,18,525,2,-2
HADOOP-8058,2012-02-11,"Date: 2012-02-11T01:51:52.062-08:00, From: Open To: Resolved",0,1,50,1,-2
HADOOP-8057,2012-02-10,"Date: 2012-02-10T15:41:10.214-08:00, From: Open To: Patch AvailableDate: 2012-02-10T15:41:19.259-08:00, From: Patch Available To: OpenDate: 2012-02-15T05:15:04.711-08:00, From: Open To: Patch AvailableDate: 2012-02-18T12:43:05.656-08:00, From: Patch Available To: Resolved",1,13,437,1,-2
HADOOP-8056,2012-02-10,"Date: 2015-03-09T08:45:03.956-07:00, From: Open To: Resolved",0,3,99,1,-1
HADOOP-8055,2012-02-10,"Date: 2012-02-10T07:11:35.263-08:00, From: Open To: Patch AvailableDate: 2012-02-11T06:14:48.993-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:14.085-08:00, From: Resolved To: Closed",0,40,2176,3,-2
HADOOP-8054,2012-02-10,"Date: 2012-02-13T04:20:41.494-08:00, From: Open To: Patch AvailableDate: 2012-02-14T21:23:47.468-08:00, From: Patch Available To: OpenDate: 2012-02-15T11:20:17.818-08:00, From: Open To: Patch AvailableDate: 2012-02-16T00:07:20.551-08:00, From: Patch Available To: OpenDate: 2012-02-16T00:07:49.156-08:00, From: Open To: Patch AvailableDate: 2012-02-17T08:35:03.094-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:48:49.406-08:00, From: Resolved To: Closed",2,40,1933,2,-4
HADOOP-8053,2012-02-09,"Date: 2012-02-17T16:24:18.102-08:00, From: Open To: Resolved",0,3,193,3,-2
HADOOP-8052,2012-02-09,"Date: 2012-02-09T13:07:23.357-08:00, From: Open To: Patch AvailableDate: 2012-02-09T15:02:00.072-08:00, From: Patch Available To: OpenDate: 2012-02-09T15:03:52.377-08:00, From: Open To: Patch AvailableDate: 2012-02-11T23:53:26.141-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:36.644-08:00, From: Resolved To: Closed",1,20,894,2,-2
HADOOP-8051,2012-02-09,"Date: 2012-02-09T12:48:19.554-08:00, From: Open To: Patch AvailableDate: 2012-02-10T16:04:32.166-08:00, From: Patch Available To: Resolved",0,15,344,2,-2
HADOOP-8050,2012-02-09,"Date: 2012-02-10T12:53:45.052-08:00, From: Open To: Patch AvailableDate: 2012-02-19T14:47:10.560-08:00, From: Patch Available To: ResolvedDate: 2012-02-20T00:16:55.642-08:00, From: Resolved To: ReopenedDate: 2012-02-22T08:13:45.069-08:00, From: Reopened To: ResolvedDate: 2012-04-05T11:42:12.700-07:00, From: Resolved To: Closed",1,34,1898,3,-2
HADOOP-8049,2012-02-09,"Date: 2012-10-15T02:58:43.375-07:00, From: Open To: Resolved",0,1,25,1,-1
HADOOP-8048,2012-02-09,"Date: 2012-02-09T09:21:38.731-08:00, From: Open To: Patch AvailableDate: 2012-02-09T16:38:29.042-08:00, From: Patch Available To: Resolved",0,17,699,2,-4
HADOOP-8047,2012-02-09,,0,2,189,2,-2
HADOOP-8046,2012-02-09,"Date: 2012-02-09T04:59:19.628-08:00, From: Open To: In ProgressDate: 2012-02-09T09:43:57.979-08:00, From: In Progress To: Patch AvailableDate: 2012-02-10T08:00:16.113-08:00, From: Patch Available To: OpenDate: 2012-02-10T08:00:19.433-08:00, From: Open To: In ProgressDate: 2012-02-17T07:37:51.011-08:00, From: In Progress To: Patch AvailableDate: 2012-02-18T04:58:13.704-08:00, From: Patch Available To: Resolved",1,16,561,2,-2
HADOOP-8045,2012-02-08,"Date: 2012-02-08T23:19:38.913-08:00, From: Open To: Patch AvailableDate: 2012-02-28T09:26:07.169-08:00, From: Patch Available To: Open",1,8,420,2,-2
HADOOP-8044,2012-02-08,"Date: 2012-02-08T22:45:12.760-08:00, From: Open To: Resolved",0,2,142,1,-3
HADOOP-8043,2012-02-08,"Date: 2012-02-21T10:40:55.393-08:00, From: Open To: Resolved",0,21,1340,3,-3
HADOOP-8041,2012-02-08,"Date: 2012-02-09T10:25:56.741-08:00, From: Open To: Resolved",0,6,340,2,-1
HADOOP-8040,2012-02-08,"Date: 2013-03-18T21:01:46.911-07:00, From: Open To: Patch AvailableDate: 2013-07-12T11:18:57.630-07:00, From: Patch Available To: ResolvedDate: 2015-09-28T13:50:59.225-07:00, From: Resolved To: Closed",0,34,3590,3,-3
HADOOP-8039,2012-02-08,,0,2,43,1,-1
HADOOP-8038,2012-02-08,"Date: 2012-02-08T09:57:47.196-08:00, From: Open To: Resolved",0,2,69,2,-1
HADOOP-8037,2012-02-08,"Date: 2012-02-08T19:06:26.294-08:00, From: Open To: ResolvedDate: 2012-02-08T22:18:58.053-08:00, From: Resolved To: ReopenedDate: 2012-02-13T22:23:33.361-08:00, From: Reopened To: ResolvedDate: 2012-03-17T23:34:11.343-07:00, From: Resolved To: Closed",1,14,1075,3,-2
HADOOP-8036,2012-02-07,"Date: 2012-02-16T11:44:40.363-08:00, From: Open To: Patch AvailableDate: 2012-02-17T12:47:30.036-08:00, From: Patch Available To: Resolved",0,23,1105,3,-2
HADOOP-8035,2012-02-07,"Date: 2012-02-07T22:15:24.939-08:00, From: Open To: Patch AvailableDate: 2012-02-08T07:38:36.987-08:00, From: Patch Available To: OpenDate: 2012-02-08T07:39:43.543-08:00, From: Open To: Patch AvailableDate: 2012-02-09T12:43:45.941-08:00, From: Patch Available To: Resolved",1,25,1443,1,-3
HADOOP-8034,2012-02-07,"Date: 2015-05-08T05:26:29.720-07:00, From: Open To: In Progress",0,3,164,2,-1
HADOOP-8033,2012-02-07,"Date: 2015-02-08T10:36:28.144-08:00, From: Open To: Resolved",0,0,2,1,-1
HADOOP-8032,2012-02-07,"Date: 2012-02-08T07:44:47.349-08:00, From: Open To: Patch AvailableDate: 2012-02-08T16:46:32.289-08:00, From: Patch Available To: Resolved",0,15,397,1,-4
HADOOP-8031,2012-02-07,"Date: 2012-08-23T01:20:44.782-07:00, From: Open To: Patch AvailableDate: 2012-08-23T16:30:10.837-07:00, From: Patch Available To: ResolvedDate: 2012-08-29T18:13:20.257-07:00, From: Resolved To: ReopenedDate: 2012-08-30T13:16:47.377-07:00, From: Reopened To: ResolvedDate: 2012-10-11T10:45:09.116-07:00, From: Resolved To: Closed",1,26,1146,2,-2
HADOOP-8030,2012-02-07,,0,2,47,1,-2
HADOOP-8029,2012-02-07,"Date: 2015-02-17T08:35:10.334-08:00, From: Open To: Resolved",0,10,483,2,-3
HADOOP-8028,2012-02-07,,0,0,2,1,-1
HADOOP-8026,2012-02-06,"Date: 2014-07-17T08:08:43.916-07:00, From: Open To: Resolved",0,1,27,1,-1
HADOOP-8025,2012-02-06,"Date: 2014-07-17T08:09:39.499-07:00, From: Open To: Resolved",0,10,366,3,-4
HADOOP-8024,2012-02-05,,0,2,133,2,-1
HADOOP-8023,2012-02-03,"Date: 2012-02-03T16:33:21.791-08:00, From: Open To: Patch AvailableDate: 2012-06-13T11:26:54.362-07:00, From: Patch Available To: ResolvedDate: 2013-05-14T22:15:55.523-07:00, From: Resolved To: Closed",0,6,118,2,-2
HADOOP-8022,2012-02-03,"Date: 2018-01-25T05:35:23.683-08:00, From: Open To: Patch Available",0,3,506,1,-2
HADOOP-8021,2012-02-03,"Date: 2012-02-06T08:24:46.375-08:00, From: Open To: Resolved",0,2,79,1,-1
HADOOP-8020,2012-02-03,"Date: 2012-02-03T09:00:18.747-08:00, From: Open To: Patch AvailableDate: 2012-02-03T15:19:02.595-08:00, From: Patch Available To: OpenDate: 2012-03-14T08:23:23.210-07:00, From: Open To: Resolved",1,12,426,2,-4
HADOOP-8019,2012-02-03,"Date: 2012-02-03T08:07:55.300-08:00, From: Open To: Resolved",0,2,80,1,-1
HADOOP-8017,2012-02-03,"Date: 2012-02-06T13:34:19.740-08:00, From: Open To: Resolved",0,10,356,3,-1
HADOOP-8016,2012-02-02,,0,0,2,1,-1
HADOOP-8015,2012-02-02,"Date: 2012-02-02T14:10:27.228-08:00, From: Open To: Patch AvailableDate: 2012-02-02T15:29:28.087-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:23.225-08:00, From: Resolved To: Closed",0,15,376,2,-2
HADOOP-8014,2012-02-02,"Date: 2012-03-27T12:22:12.135-07:00, From: Open To: Patch AvailableDate: 2012-03-29T07:56:20.742-07:00, From: Patch Available To: OpenDate: 2012-03-29T07:56:40.285-07:00, From: Open To: Patch AvailableDate: 2012-03-30T12:01:11.500-07:00, From: Patch Available To: OpenDate: 2012-03-30T13:32:27.293-07:00, From: Open To: Patch AvailableDate: 2012-04-05T12:34:05.885-07:00, From: Patch Available To: OpenDate: 2012-04-06T08:53:45.788-07:00, From: Open To: Patch AvailableDate: 2012-04-06T09:40:28.624-07:00, From: Patch Available To: OpenDate: 2012-04-06T09:40:33.573-07:00, From: Open To: Patch AvailableDate: 2012-04-06T10:59:10.317-07:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:43.370-07:00, From: Resolved To: Closed",4,46,2479,3,-3
HADOOP-8013,2012-02-02,"Date: 2012-02-03T13:59:29.011-08:00, From: Open To: Patch AvailableDate: 2012-02-03T15:04:22.724-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:33.705-08:00, From: Resolved To: Closed",0,29,727,2,-2
HADOOP-8012,2012-02-01,"Date: 2012-02-01T12:41:20.583-08:00, From: Open To: Patch AvailableDate: 2012-02-07T18:12:45.451-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:00.969-08:00, From: Resolved To: Closed",0,13,285,3,-1
HADOOP-8011,2012-01-31,"Date: 2012-02-01T08:08:32.158-08:00, From: Open To: Resolved",0,1,27,1,-1
HADOOP-8010,2012-01-31,"Date: 2012-01-31T16:23:21.423-08:00, From: Open To: Patch AvailableDate: 2012-02-01T00:26:02.416-08:00, From: Patch Available To: ResolvedDate: 2012-02-01T00:26:17.515-08:00, From: Resolved To: Closed",0,10,488,3,-2
HADOOP-8009,2012-01-31,"Date: 2012-01-31T18:44:44.157-08:00, From: Open To: Patch AvailableDate: 2012-02-08T12:26:34.721-08:00, From: Patch Available To: ResolvedDate: 2012-02-14T00:00:24.852-08:00, From: Resolved To: ReopenedDate: 2012-02-14T10:23:08.554-08:00, From: Reopened To: ResolvedDate: 2012-03-04T18:49:52.387-08:00, From: Resolved To: Closed",1,47,2668,3,-4
HADOOP-8008,2012-01-30,,0,4,82,1,-1
HADOOP-8007,2012-01-30,"Date: 2012-04-03T22:53:18.130-07:00, From: Open To: Patch AvailableDate: 2012-04-04T01:27:44.718-07:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:58.399-07:00, From: Resolved To: Closed",0,14,552,3,-2
HADOOP-8004,2012-01-30,"Date: 2012-01-30T05:35:39.443-08:00, From: Open To: Resolved",0,4,145,1,-2
HADOOP-8003,2012-01-28,"Date: 2012-02-23T16:43:22.568-08:00, From: Open To: Resolved",0,5,805,3,-2
HADOOP-8006,2012-01-28,"Date: 2012-01-30T10:50:17.411-08:00, From: Open To: Patch AvailableDate: 2012-01-31T14:48:20.315-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:48:53.480-08:00, From: Resolved To: Closed",0,41,1977,3,-2
HADOOP-8002,2012-01-27,"Date: 2012-01-27T16:24:17.292-08:00, From: Open To: Patch AvailableDate: 2012-01-27T20:09:13.845-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:22.653-08:00, From: Resolved To: Closed",0,15,497,2,-2
HADOOP-8001,2012-01-27,"Date: 2012-01-27T15:03:30.766-08:00, From: Open To: Patch AvailableDate: 2012-02-02T08:00:11.647-08:00, From: Patch Available To: OpenDate: 2012-02-02T08:02:52.947-08:00, From: Open To: Patch AvailableDate: 2012-02-02T09:19:56.408-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:24.964-08:00, From: Resolved To: Closed",1,22,764,2,-2
HADOOP-8000,2012-01-27,"Date: 2012-01-27T11:27:10.283-08:00, From: Open To: Patch AvailableDate: 2012-01-27T15:18:33.772-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:32.765-08:00, From: Resolved To: Closed",0,15,341,2,-2
HADOOP-7999,2012-01-27,"Date: 2012-01-27T14:11:53.795-08:00, From: Open To: Patch AvailableDate: 2012-01-30T10:35:29.335-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:48:43.883-08:00, From: Resolved To: Closed",0,17,556,2,-2
HADOOP-7998,2012-01-27,"Date: 2012-01-27T09:17:04.210-08:00, From: Open To: Patch AvailableDate: 2012-01-27T14:52:13.004-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:49:48.014-08:00, From: Resolved To: Closed",0,17,601,2,-2
HADOOP-7997,2012-01-26,"Date: 2012-01-26T15:31:13.962-08:00, From: Open To: Patch AvailableDate: 2012-01-26T16:02:31.223-08:00, From: Patch Available To: OpenDate: 2012-01-26T16:02:37.782-08:00, From: Open To: Patch AvailableDate: 2012-02-07T18:08:14.335-08:00, From: Patch Available To: Resolved",1,14,278,2,-1
HADOOP-7996,2012-01-26,"Date: 2014-09-14T11:40:25.819-07:00, From: Open To: Resolved",0,3,58,2,-1
HADOOP-7995,2012-01-26,"Date: 2012-02-15T09:55:44.145-08:00, From: Open To: Resolved",0,5,250,2,-3
HADOOP-7994,2012-01-25,"Date: 2012-02-28T20:00:19.688-08:00, From: Open To: Patch AvailableDate: 2012-02-28T23:45:58.102-08:00, From: Patch Available To: OpenDate: 2012-02-28T23:46:17.536-08:00, From: Open To: Patch AvailableDate: 2012-02-29T21:13:51.041-08:00, From: Patch Available To: ResolvedDate: 2012-05-23T13:15:44.829-07:00, From: Resolved To: Closed",1,14,630,2,-2
HADOOP-7993,2012-01-25,"Date: 2012-01-25T12:47:38.519-08:00, From: Open To: Patch AvailableDate: 2012-01-25T16:07:48.719-08:00, From: Patch Available To: OpenDate: 2012-01-25T16:08:55.214-08:00, From: Open To: Patch AvailableDate: 2012-01-26T19:45:11.530-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:48:38.308-08:00, From: Resolved To: Closed",1,19,999,2,-3
HADOOP-7991,2012-01-24,"Date: 2012-02-03T11:46:37.931-08:00, From: Open To: Resolved",0,6,153,2,-1
HADOOP-7990,2012-01-24,,0,1,44,1,-1
HADOOP-8158,2012-01-23,"Date: 2012-07-27T09:32:47.500-07:00, From: Open To: Patch AvailableDate: 2012-09-23T03:51:41.730-07:00, From: Patch Available To: ResolvedDate: 2014-11-30T19:09:25.903-08:00, From: Resolved To: Closed",0,23,911,2,-2
HADOOP-7989,2012-01-21,"Date: 2012-01-24T22:45:10.221-08:00, From: Open To: Resolved",0,4,146,2,-1
HADOOP-9469,2012-01-21,"Date: 2013-04-10T13:27:25.150-07:00, From: Open To: Patch AvailableDate: 2013-04-19T14:59:55.199-07:00, From: Patch Available To: ResolvedDate: 2013-08-27T15:06:34.084-07:00, From: Resolved To: Closed",0,12,1019,2,-4
HADOOP-7988,2012-01-20,"Date: 2012-01-27T14:50:05.934-08:00, From: Open To: Patch AvailableDate: 2012-01-27T18:53:07.998-08:00, From: Patch Available To: ResolvedDate: 2012-01-30T17:56:00.362-08:00, From: Resolved To: Closed",0,25,1799,2,-2
HADOOP-7987,2012-01-20,"Date: 2012-01-25T11:34:24.299-08:00, From: Open To: Patch AvailableDate: 2012-01-25T13:18:45.071-08:00, From: Patch Available To: ResolvedDate: 2012-01-30T17:56:00.085-08:00, From: Resolved To: Closed",0,20,464,2,-2
HADOOP-7986,2012-01-19,"Date: 2012-01-19T16:39:24.034-08:00, From: Open To: Patch AvailableDate: 2012-01-20T11:51:08.720-08:00, From: Patch Available To: ResolvedDate: 2012-03-04T18:48:58.613-08:00, From: Resolved To: Closed",0,14,627,2,-2
HADOOP-7985,2012-01-19,"Date: 2013-08-15T12:02:33.077-07:00, From: Open To: Resolved",0,4,389,1,-3
