ID,date,history,reopenings,comments,numWords,score1,score2
MNG-6401,2018-05-01,,0,1,319,2,-2
MNG-6400,2018-04-24,,0,1,135,1,-4
MNG-6399,2018-04-23,,0,2,94,2,-1
MNG-6398,2018-04-21,,0,5,359,1,-3
MNG-6397,2018-04-19,,0,2,206,2,-1
MNG-6396,2018-04-15,"Date: 2018-04-15T03:08:16.347-07:00, From: Open To: Closed",0,2,69,1,-1
MNG-6395,2018-04-14,,0,0,2,1,-1
MNG-6394,2018-04-13,,0,5,124,1,-1
MNG-6392,2018-04-11,,0,4,538,1,-2
MNG-6391,2018-04-10,"Date: 2018-04-10T10:20:52.649-07:00, From: Open To: ClosedDate: 2018-04-10T11:33:28.492-07:00, From: Closed To: ReopenedDate: 2018-04-11T10:02:43.709-07:00, From: Reopened To: In Progress",1,16,1936,3,-3
MNG-6390,2018-04-09,,0,4,520,2,-2
MNG-6389,2018-04-04,,0,11,1103,2,-2
MNG-6388,2018-04-02,,0,13,759,3,-1
MNG-6387,2018-03-30,,0,8,483,2,-2
MNG-6386,2018-03-29,"Date: 2018-03-30T12:51:55.908-07:00, From: Open To: In ProgressDate: 2018-03-30T15:22:22.615-07:00, From: In Progress To: Open",1,2,88,1,-2
MNG-6385,2018-03-29,,0,1,131,1,-2
MNG-6384,2018-03-28,,0,0,2,1,-1
MNG-6383,2018-03-23,,0,1,38,1,-1
MNG-6382,2018-03-21,"Date: 2018-03-21T14:44:30.898-07:00, From: Open To: ClosedDate: 2018-03-22T00:02:40.622-07:00, From: Closed To: Reopened",1,1,28,1,-1
MNG-6380,2018-03-20,,0,1,33,1,-3
MNG-6379,2018-03-19,,0,0,2,1,-1
MNG-6378,2018-03-19,,0,0,2,1,-1
MNG-6377,2018-03-18,"Date: 2018-03-18T07:01:41.514-07:00, From: Open To: Closed",0,4,43,1,-1
MNG-6375,2018-03-11,,0,0,2,1,-1
MNG-6374,2018-03-10,,0,0,2,1,-1
MNG-6373,2018-03-09,,0,0,2,1,-1
MNG-6372,2018-03-07,,0,0,2,1,-1
MNG-6371,2018-03-06,,0,1,52,1,-1
MNG-6370,2018-03-05,"Date: 2018-03-07T14:59:25.071-08:00, From: Open To: Closed",0,10,225,4,-2
MNG-6369,2018-03-05,,0,0,2,1,-1
MNG-6368,2018-02-28,,0,4,526,2,-2
MNG-6366,2018-02-20,"Date: 2018-04-22T14:36:05.686-07:00, From: Open To: Closed",0,1,33,1,-2
MNG-6364,2018-02-18,"Date: 2018-02-19T11:08:27.978-08:00, From: Open To: In Progress",0,1,24,1,-1
MNG-6363,2018-02-17,"Date: 2018-02-18T14:21:17.535-08:00, From: Open To: In ProgressDate: 2018-04-23T12:17:52.287-07:00, From: In Progress To: Closed",0,2,29,1,-1
MNG-6362,2018-02-17,"Date: 2018-02-18T14:21:29.208-08:00, From: Open To: In ProgressDate: 2018-03-20T15:14:20.358-07:00, From: In Progress To: Closed",0,6,52,1,-1
MNG-6361,2018-02-15,"Date: 2018-02-16T02:41:04.340-08:00, From: Open To: Closed",0,1,45,1,-1
MNG-6360,2018-02-14,"Date: 2018-05-02T01:54:57.819-07:00, From: Open To: Closed",0,7,206,3,-2
MNG-6359,2018-02-13,,0,3,185,3,-1
MNG-6358,2018-02-13,,0,4,343,1,-2
MNG-6357,2018-02-07,,0,0,2,1,-1
MNG-6356,2018-02-06,,0,0,2,1,-1
MNG-6355,2018-02-06,,0,1,39,1,-1
MNG-6354,2018-02-05,,0,0,2,1,-1
MNG-6353,2018-02-05,"Date: 2018-02-11T09:34:20.589-08:00, From: Open To: Closed",0,3,34,1,-1
MNG-6352,2018-02-04,"Date: 2018-02-17T05:51:23.447-08:00, From: Open To: In ProgressDate: 2018-02-18T06:04:45.638-08:00, From: In Progress To: Closed",0,14,3170,2,-1
MNG-6351,2018-01-30,,0,2,423,3,-2
MNG-6350,2018-01-29,"Date: 2018-01-29T09:41:30.542-08:00, From: Open To: Closed",0,1,35,1,-1
MNG-6349,2018-01-24,,0,0,2,1,-1
MNG-6348,2018-01-24,,0,0,2,1,-1
MNG-6347,2018-01-24,,0,5,360,2,-3
MNG-6346,2018-01-22,,0,2,174,3,-1
MNG-6345,2018-01-19,,0,1,22,1,-1
MNG-6344,2018-01-18,,0,1,35,1,-1
MNG-6343,2018-01-18,"Date: 2018-04-22T14:51:55.447-07:00, From: Open To: Closed",0,1,42,2,-1
MNG-6342,2018-01-18,"Date: 2018-01-19T14:32:51.446-08:00, From: Open To: In ProgressDate: 2018-01-19T16:01:40.654-08:00, From: In Progress To: Closed",0,3,35,1,-1
MNG-6340,2018-01-16,"Date: 2018-02-04T02:25:59.673-08:00, From: Open To: In ProgressDate: 2018-02-04T09:33:40.751-08:00, From: In Progress To: Closed",0,4,56,1,-1
MNG-6339,2018-01-12,"Date: 2018-01-13T09:46:16.495-08:00, From: Open To: Closed",0,4,260,2,-2
MNG-6338,2018-01-12,"Date: 2018-01-12T02:36:28.508-08:00, From: Open To: Closed",0,1,40,1,-1
MNG-6337,2018-01-09,"Date: 2018-01-24T11:59:30.241-08:00, From: Open To: Closed",0,6,232,1,-1
MNG-6336,2018-01-09,,0,0,2,1,-1
MNG-6335,2018-01-06,"Date: 2018-02-10T04:00:12.679-08:00, From: Open To: Closed",0,5,127,2,-2
MNG-6334,2018-01-03,,0,1,83,1,-2
MNG-6333,2017-12-31,"Date: 2018-01-01T04:42:10.394-08:00, From: Open To: Closed",0,3,71,2,-1
MNG-6332,2017-12-30,"Date: 2017-12-30T12:16:14.068-08:00, From: Open To: In ProgressDate: 2018-01-06T11:53:59.736-08:00, From: In Progress To: Closed",0,5,47,1,-1
MNG-6331,2017-12-30,"Date: 2017-12-30T11:16:19.274-08:00, From: Open To: In ProgressDate: 2017-12-31T05:07:23.311-08:00, From: In Progress To: Closed",0,5,47,1,-1
MNG-6330,2017-12-26,"Date: 2017-12-29T01:50:14.813-08:00, From: Open To: Closed",0,11,80,1,-1
MNG-6329,2017-12-26,,0,3,211,1,-1
MNG-6328,2017-12-21,"Date: 2018-02-10T12:21:06.612-08:00, From: Open To: Closed",0,1,67,1,-2
MNG-6327,2017-12-21,,0,3,292,3,-3
MNG-6326,2017-12-21,,0,2,241,1,-2
