ID,date,history,reopenings,comments,numWords,score1,score2
MNG-3062,2007-06-19,"Date: 2007-08-14T03:35:52.280-07:00, From: Open To: Closed",0,3,286,2,-1
MNG-3061,2007-06-18,"Date: 2010-01-11T13:35:02.055-08:00, From: Open To: Closed",0,2,58,1,-1
MNG-3060,2007-06-18,"Date: 2007-06-20T14:30:05.958-07:00, From: Open To: Closed",0,4,279,2,-1
MNG-3059,2007-06-17,"Date: 2007-09-02T04:03:50.070-07:00, From: Open To: Closed",0,1,24,1,-1
MNG-3058,2007-06-15,"Date: 2007-06-15T10:45:20.983-07:00, From: Open To: Closed",0,3,70,2,-3
MNG-3057,2007-06-15,"Date: 2009-02-10T01:30:33.526-08:00, From: Open To: In ProgressDate: 2009-02-10T02:17:37.603-08:00, From: In Progress To: OpenDate: 2009-02-12T05:55:06.670-08:00, From: Open To: In ProgressDate: 2009-02-19T05:17:44.786-08:00, From: In Progress To: ClosedDate: 2009-02-23T06:16:23.719-08:00, From: Closed To: ReopenedDate: 2009-02-24T03:10:39.264-08:00, From: Reopened To: Closed",2,18,1100,3,-3
MNG-3056,2007-06-14,"Date: 2014-01-19T05:09:25.011-08:00, From: Open To: Closed",0,7,308,3,-1
MNG-3055,2007-06-13,"Date: 2007-06-14T16:08:39.478-07:00, From: Open To: Closed",0,1,34,1,-1
MNG-3054,2007-06-13,"Date: 2007-09-02T12:12:45.467-07:00, From: Open To: Closed",0,0,2,1,-1
MNG-3053,2007-06-13,"Date: 2014-01-22T12:31:39.887-08:00, From: Open To: Closed",0,2,39,1,-1
MNG-3052,2007-06-13,"Date: 2007-06-14T16:18:35.291-07:00, From: Open To: ClosedDate: 2007-06-14T16:27:00.955-07:00, From: Closed To: ReopenedDate: 2007-06-14T16:27:11.775-07:00, From: Reopened To: ClosedDate: 2008-03-25T07:11:36.350-07:00, From: Closed To: ReopenedDate: 2008-06-27T02:49:52.346-07:00, From: Reopened To: In ProgressDate: 2008-06-27T04:43:59.811-07:00, From: In Progress To: Closed",2,8,454,2,-1
MNG-3051,2007-06-13,"Date: 2008-03-04T09:23:29.117-08:00, From: Open To: Closed",0,1,53,1,-1
MNG-3049,2007-06-12,"Date: 2014-01-22T12:31:57.010-08:00, From: Open To: Closed",0,3,57,1,-1
MNG-3047,2007-06-11,"Date: 2007-08-14T04:37:23.315-07:00, From: Open To: Closed",0,2,23,2,-1
MNG-3046,2007-06-11,"Date: 2007-08-14T03:22:03.678-07:00, From: Open To: Closed",0,2,33,2,-1
MNG-3044,2007-06-08,"Date: 2014-01-22T12:31:43.967-08:00, From: Open To: Closed",0,2,39,1,-1
