ID,date,history,reopenings,comments,numWords,score1,score2
QPID-7173,2016-03-30,"Date: 2016-04-04T00:33:47.909-07:00, From: Open To: In ProgressDate: 2016-04-04T00:34:01.684-07:00, From: In Progress To: ReviewableDate: 2016-09-06T13:40:29.116-07:00, From: Reviewable To: ResolvedDate: 2016-09-06T13:43:18.404-07:00, From: Resolved To: Closed",0,4,63,1,-1
QPID-7172,2016-03-30,,0,0,2,1,-1
QPID-7171,2016-03-30,"Date: 2016-03-30T03:35:27.049-07:00, From: Open To: ResolvedDate: 2016-09-06T14:32:52.817-07:00, From: Resolved To: Closed",0,2,47,1,-1
QPID-7170,2016-03-30,,0,0,2,1,-1
QPID-7169,2016-03-30,,0,0,2,1,-1
QPID-7168,2016-03-29,,0,0,2,1,-1
QPID-7167,2016-03-29,,0,0,2,1,-1
QPID-7166,2016-03-29,,0,0,2,1,-1
QPID-7165,2016-03-29,"Date: 2016-04-21T09:16:53.356-07:00, From: Open To: In ProgressDate: 2016-04-29T09:24:34.885-07:00, From: In Progress To: ClosedDate: 2016-05-03T06:21:57.515-07:00, From: Closed To: ReopenedDate: 2016-05-31T06:16:14.304-07:00, From: Reopened To: ResolvedDate: 2016-11-17T05:04:41.428-08:00, From: Resolved To: Closed",1,6,210,1,-1
QPID-7164,2016-03-25,,0,2,58,1,-1
QPID-7163,2016-03-25,,0,1,40,1,-1
QPID-7162,2016-03-24,"Date: 2016-03-25T08:24:22.199-07:00, From: Open To: In ProgressDate: 2016-03-25T08:24:25.529-07:00, From: In Progress To: ReviewableDate: 2016-03-30T03:38:39.731-07:00, From: Reviewable To: ResolvedDate: 2016-11-17T05:04:55.453-08:00, From: Resolved To: Closed",0,4,76,2,-1
QPID-7161,2016-03-24,"Date: 2016-03-24T10:58:33.690-07:00, From: Open To: In ProgressDate: 2016-03-24T10:58:52.902-07:00, From: In Progress To: ReviewableDate: 2016-03-29T01:27:50.115-07:00, From: Reviewable To: Resolved",0,2,41,2,-1
QPID-7160,2016-03-23,"Date: 2016-04-03T09:41:13.450-07:00, From: Open To: In ProgressDate: 2016-04-03T09:41:15.799-07:00, From: In Progress To: ReviewableDate: 2016-04-04T05:36:33.184-07:00, From: Reviewable To: ResolvedDate: 2016-11-17T05:05:25.621-08:00, From: Resolved To: Closed",0,4,206,1,-2
QPID-7159,2016-03-23,"Date: 2016-04-05T09:28:09.622-07:00, From: Open To: In ProgressDate: 2016-04-05T09:28:13.091-07:00, From: In Progress To: ReviewableDate: 2016-04-12T01:58:57.866-07:00, From: Reviewable To: ResolvedDate: 2016-05-12T06:20:33.569-07:00, From: Resolved To: Closed",0,14,549,3,-2
