ID,date,history,reopenings,comments,numWords,score1,score2
QPID-4106,2012-07-04,"Date: 2013-07-26T04:04:52.798-07:00, From: Open To: Closed",0,1,39,1,-1
QPID-4105,2012-07-04,"Date: 2012-07-04T05:35:12.436-07:00, From: Open To: In ProgressDate: 2012-07-04T05:35:17.801-07:00, From: In Progress To: Ready To ReviewDate: 2012-07-04T08:28:23.179-07:00, From: Ready To Review To: ResolvedDate: 2017-03-14T13:12:53.314-07:00, From: Resolved To: Closed",0,3,49,2,-1
QPID-4104,2012-07-04,"Date: 2012-07-04T02:13:29.080-07:00, From: Open To: In ProgressDate: 2012-07-04T02:18:58.419-07:00, From: In Progress To: Ready To ReviewDate: 2012-07-04T08:28:53.058-07:00, From: Ready To Review To: ResolvedDate: 2017-03-14T13:12:47.868-07:00, From: Resolved To: Closed",0,3,45,1,-1
QPID-4103,2012-07-03,"Date: 2012-07-03T02:51:42.547-07:00, From: Open To: In ProgressDate: 2012-07-03T04:12:18.482-07:00, From: In Progress To: Ready To ReviewDate: 2012-07-04T08:29:29.355-07:00, From: Ready To Review To: ResolvedDate: 2012-07-17T06:46:18.771-07:00, From: Resolved To: ReopenedDate: 2012-07-17T06:48:00.357-07:00, From: Reopened To: In ProgressDate: 2012-07-17T06:48:03.601-07:00, From: In Progress To: Ready To ReviewDate: 2012-07-17T07:10:23.383-07:00, From: Ready To Review To: ResolvedDate: 2012-07-17T08:06:19.454-07:00, From: Resolved To: ReopenedDate: 2012-07-17T08:06:40.152-07:00, From: Reopened To: In ProgressDate: 2012-07-17T08:06:42.528-07:00, From: In Progress To: Ready To ReviewDate: 2012-07-30T14:10:07.632-07:00, From: Ready To Review To: ResolvedDate: 2012-07-30T14:10:14.040-07:00, From: Resolved To: Closed",2,15,197,2,-2
QPID-4102,2012-06-29,"Date: 2012-10-17T14:54:13.444-07:00, From: Open To: ResolvedDate: 2013-07-29T11:53:51.166-07:00, From: Resolved To: Closed",0,1,28,1,-1
QPID-4101,2012-06-29,"Date: 2012-07-05T14:42:50.389-07:00, From: Open To: ResolvedDate: 2013-07-29T11:53:20.801-07:00, From: Resolved To: Closed",0,1,21,1,-1
QPID-4100,2012-06-29,"Date: 2012-06-29T08:05:00.497-07:00, From: Open To: In ProgressDate: 2012-08-09T10:54:23.966-07:00, From: In Progress To: OpenDate: 2012-08-09T11:18:36.830-07:00, From: Open To: In ProgressDate: 2018-03-14T13:26:58.201-07:00, From: In Progress To: Closed",1,2,242,1,-3
QPID-4099,2012-06-29,"Date: 2012-06-29T12:40:14.960-07:00, From: Open To: In ProgressDate: 2012-06-29T12:40:16.930-07:00, From: In Progress To: Ready To ReviewDate: 2012-06-29T16:12:12.413-07:00, From: Ready To Review To: ResolvedDate: 2017-03-14T13:12:59.471-07:00, From: Resolved To: Closed",0,3,98,1,-1
QPID-4098,2012-06-29,"Date: 2012-09-02T12:52:26.970-07:00, From: Open To: ResolvedDate: 2015-02-11T12:07:08.910-08:00, From: Resolved To: Closed",0,0,2,1,-1
QPID-4097,2012-06-28,"Date: 2012-06-28T16:28:17.365-07:00, From: Open To: ResolvedDate: 2013-07-29T11:53:42.956-07:00, From: Resolved To: Closed",0,1,22,1,-1
