ID,history,reopenings,comments,score1,score2
CLOUDSTACK-10355,,0,1,1,-1
CLOUDSTACK-10354,,0,0,1,-1
CLOUDSTACK-10353,"Date: 2018-04-06T03:50:58.713-07:00, From: Open To: Closed",0,1,1,-1
CLOUDSTACK-10352,"Date: 2018-04-03T12:55:44.792-07:00, From: Open To: Resolved",0,10,2,-2
CLOUDSTACK-10351,"Date: 2018-04-06T03:49:27.149-07:00, From: Open To: Closed",0,2,1,-1
CLOUDSTACK-10350,"Date: 2018-04-06T03:56:36.407-07:00, From: Open To: Closed",0,2,1,-1
CLOUDSTACK-10349,,0,0,1,-1
CLOUDSTACK-10348,,0,16,2,-3
CLOUDSTACK-10347,,0,0,1,-1
CLOUDSTACK-10346,"Date: 2018-03-27T12:07:41.822-07:00, From: Open To: In ProgressDate: 2018-03-27T12:24:04.651-07:00, From: In Progress To: Reviewable",0,1,1,-2
CLOUDSTACK-10345,"Date: 2018-03-29T10:44:45.790-07:00, From: Open To: Resolved",0,0,1,-1
CLOUDSTACK-10344,"Date: 2018-03-25T16:19:34.708-07:00, From: Open To: In ProgressDate: 2018-03-25T16:19:37.108-07:00, From: In Progress To: OpenDate: 2018-03-25T16:19:39.121-07:00, From: Open To: In ProgressDate: 2018-03-25T16:19:42.512-07:00, From: In Progress To: Reviewable",1,25,2,-2
CLOUDSTACK-10343,,0,0,1,-1
CLOUDSTACK-10342,"Date: 2018-04-03T14:45:48.256-07:00, From: Open To: Resolved",0,0,1,-1
CLOUDSTACK-10341,"Date: 2018-03-22T23:38:29.046-07:00, From: Open To: In ProgressDate: 2018-03-22T23:38:32.687-07:00, From: In Progress To: Reviewable",0,25,2,-3
CLOUDSTACK-10340,"Date: 2018-03-21T23:25:18.517-07:00, From: Open To: In ProgressDate: 2018-03-21T23:25:21.618-07:00, From: In Progress To: Reviewable",0,15,2,-2
CLOUDSTACK-10339,,0,0,1,-1
CLOUDSTACK-10338,,0,0,1,-1
CLOUDSTACK-10337,,0,0,1,-1
CLOUDSTACK-10336,,0,0,1,-1
CLOUDSTACK-10335,,0,0,1,-1
CLOUDSTACK-10334,"Date: 2018-03-28T03:03:13.422-07:00, From: Open To: Resolved",0,23,2,-3
CLOUDSTACK-10333,"Date: 2018-03-22T01:23:08.849-07:00, From: Open To: In ProgressDate: 2018-03-22T01:23:14.964-07:00, From: In Progress To: Reviewable",0,79,3,-2
CLOUDSTACK-10332,"Date: 2018-03-20T10:53:41.956-07:00, From: Open To: In ProgressDate: 2018-03-20T10:53:44.841-07:00, From: In Progress To: ReviewableDate: 2018-03-29T03:06:45.240-07:00, From: Reviewable To: Resolved",0,18,2,-2
CLOUDSTACK-10331,"Date: 2018-03-21T04:01:12.464-07:00, From: Open To: Resolved",0,4,2,-2
CLOUDSTACK-10330,"Date: 2018-03-18T23:09:36.948-07:00, From: Open To: Closed",0,4,2,-2
CLOUDSTACK-10329,"Date: 2018-03-20T03:37:55.912-07:00, From: Open To: Resolved",0,6,2,-2
CLOUDSTACK-10328,,0,0,1,-1
CLOUDSTACK-10327,,0,18,2,-2
CLOUDSTACK-10326,"Date: 2018-03-19T17:43:56.266-07:00, From: Open To: In Progress",0,27,2,-2
CLOUDSTACK-10325,"Date: 2018-03-14T04:17:13.620-07:00, From: Open To: In Progress",0,1,1,-1
CLOUDSTACK-10324,"Date: 2018-03-22T12:02:19.453-07:00, From: Open To: Resolved",0,0,1,-1
CLOUDSTACK-10323,"Date: 2018-03-13T03:19:17.648-07:00, From: Open To: In Progress",0,65,2,-2
CLOUDSTACK-10321,"Date: 2018-03-19T17:44:25.689-07:00, From: Open To: Resolved",0,49,2,-2
CLOUDSTACK-10320,,0,25,2,-2
CLOUDSTACK-10319,"Date: 2018-03-08T03:42:49.694-08:00, From: Open To: In Progress",0,44,2,-2
