ID,date,history,reopenings,comments,numWords,score1,score2
ZEPPELIN-1951,2017-01-12,,0,0,2,1,-1
ZEPPELIN-1950,2017-01-12,,0,0,2,1,-1
ZEPPELIN-1949,2017-01-12,,0,0,2,1,-1
ZEPPELIN-1943,2017-01-11,"Date: 2017-03-05T00:34:36.873-08:00, From: Open To: Resolved",0,2,223,1,-2
ZEPPELIN-1942,2017-01-11,"Date: 2017-02-16T21:15:56.238-08:00, From: Open To: Closed",0,1,21,1,-1
ZEPPELIN-1941,2017-01-11,"Date: 2017-01-16T09:24:27.121-08:00, From: Open To: Resolved",0,12,739,2,-2
ZEPPELIN-1940,2017-01-11,"Date: 2017-07-05T08:10:01.411-07:00, From: Open To: Resolved",0,22,5412,3,-2
ZEPPELIN-1939,2017-01-11,"Date: 2017-05-15T07:07:33.838-07:00, From: Open To: Resolved",0,7,331,2,-3
ZEPPELIN-1938,2017-01-11,,0,2,61,1,-1
ZEPPELIN-1937,2017-01-10,,0,0,2,1,-1
ZEPPELIN-1936,2017-01-10,"Date: 2017-01-13T22:49:38.639-08:00, From: Open To: Closed",0,4,213,1,-2
ZEPPELIN-1935,2017-01-10,"Date: 2017-01-16T18:07:54.120-08:00, From: Open To: Resolved",0,8,411,1,-2
ZEPPELIN-1934,2017-01-10,"Date: 2017-01-30T08:47:04.112-08:00, From: Open To: In ProgressDate: 2017-01-30T09:26:50.131-08:00, From: In Progress To: OpenDate: 2017-01-30T09:57:15.076-08:00, From: Open To: In ProgressDate: 2017-01-30T09:57:26.692-08:00, From: In Progress To: OpenDate: 2017-02-01T22:56:40.910-08:00, From: Open To: ResolvedDate: 2017-02-06T02:44:49.702-08:00, From: Resolved To: Closed",2,10,350,2,-2
ZEPPELIN-1933,2017-01-10,"Date: 2017-01-15T11:05:22.696-08:00, From: Open To: Resolved",0,5,268,1,-2
ZEPPELIN-1932,2017-01-09,"Date: 2017-01-13T22:50:01.307-08:00, From: Open To: Closed",0,10,579,2,-2
ZEPPELIN-1931,2017-01-09,"Date: 2017-01-10T18:22:55.998-08:00, From: Open To: Resolved",0,5,207,1,-2
ZEPPELIN-1930,2017-01-09,"Date: 2017-01-10T18:49:07.013-08:00, From: Open To: Resolved",0,12,513,2,-2
ZEPPELIN-1929,2017-01-09,"Date: 2017-03-18T09:35:10.663-07:00, From: Open To: Resolved",0,1,23,1,-1
ZEPPELIN-1928,2017-01-08,"Date: 2017-02-03T02:06:18.696-08:00, From: Open To: In ProgressDate: 2017-02-09T11:24:31.166-08:00, From: In Progress To: OpenDate: 2017-02-09T11:46:31.133-08:00, From: Open To: ResolvedDate: 2017-02-09T21:52:47.982-08:00, From: Resolved To: ReopenedDate: 2017-02-16T04:06:37.576-08:00, From: Reopened To: Closed",2,39,9808,2,-4
ZEPPELIN-1927,2017-01-08,"Date: 2017-01-10T18:49:32.237-08:00, From: Open To: Resolved",0,5,250,1,-2
ZEPPELIN-1926,2017-01-08,"Date: 2017-01-14T15:33:40.595-08:00, From: Open To: Resolved",0,11,513,2,-2
ZEPPELIN-1925,2017-01-08,,0,0,2,1,-1
ZEPPELIN-1924,2017-01-08,"Date: 2017-01-09T21:08:20.339-08:00, From: Open To: ResolvedDate: 2017-01-09T21:08:26.659-08:00, From: Resolved To: Closed",0,5,505,2,-2
ZEPPELIN-1923,2017-01-07,"Date: 2017-01-07T14:03:43.876-08:00, From: Open To: Closed",0,1,27,1,-2
