ID,date,history,reopenings,comments,numWords,score1,score2
ZOOKEEPER-3027,2018-04-27,"Date: 2018-04-27T11:35:39.109-07:00, From: Open To: Resolved",0,7,389,2,-2
ZOOKEEPER-3026,2018-04-24,,0,3,97,2,-3
ZOOKEEPER-3025,2018-04-23,"Date: 2018-04-23T17:28:57.970-07:00, From: Open To: Resolved",0,11,569,3,-2
ZOOKEEPER-3024,2018-04-22,,0,0,2,1,-1
ZOOKEEPER-3023,2018-04-20,,0,0,2,1,-1
ZOOKEEPER-3022,2018-04-20,"Date: 2018-04-23T06:48:26.047-07:00, From: Open To: In Progress",0,1,111,1,-2
ZOOKEEPER-3021,2018-04-20,,0,4,247,3,-4
ZOOKEEPER-3020,2018-04-18,"Date: 2018-04-18T16:43:58.662-07:00, From: Open To: Patch Available",0,0,2,1,-1
ZOOKEEPER-3019,2018-04-06,"Date: 2018-04-09T02:05:50.302-07:00, From: Open To: In Progress",0,41,3724,2,-4
ZOOKEEPER-3018,2018-04-04,,0,7,286,2,-2
ZOOKEEPER-3017,2018-04-03,"Date: 2018-04-15T21:26:53.164-07:00, From: Open To: Resolved",0,11,481,3,-2
ZOOKEEPER-3016,2018-04-02,"Date: 2018-04-09T03:12:29.277-07:00, From: Open To: Resolved",0,2,81,1,-1
ZOOKEEPER-3015,2018-03-31,,0,2,223,1,-1
ZOOKEEPER-3014,2018-03-28,"Date: 2018-03-29T09:09:22.789-07:00, From: Open To: Resolved",0,11,636,3,-3
ZOOKEEPER-3013,2018-03-27,"Date: 2018-03-27T14:30:47.705-07:00, From: Open To: Resolved",0,0,2,1,-1
ZOOKEEPER-3012,2018-03-27,,0,0,2,1,-1
ZOOKEEPER-3011,2018-03-26,,0,0,2,1,-1
ZOOKEEPER-3010,2018-03-26,,0,1,162,1,-2
ZOOKEEPER-3009,2018-03-26,,0,2,269,3,-2
ZOOKEEPER-3008,2018-03-26,,0,20,1454,1,-3
ZOOKEEPER-3007,2018-03-26,"Date: 2018-04-26T15:24:44.996-07:00, From: Open To: Resolved",0,29,2270,3,-4
ZOOKEEPER-3006,2018-03-24,"Date: 2018-04-05T21:04:40.519-07:00, From: Open To: Resolved",0,13,556,3,-2
ZOOKEEPER-3005,2018-03-22,,0,0,2,1,-1
ZOOKEEPER-3004,2018-03-22,,0,0,2,1,-1
