ID,comment
ZOOKEEPER-3001,,"user sel-fish opened a pull request:

       incorrect log message when try to delete container node

    missing `string.format` when print the log . you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit 漠冰      incorrect log message when try to delete container node

----
 , bot} , bot} , user sel-fish closed the pull request at:

    bot} , bot} , user sel-fish opened a pull request:

       incorrect log message when try to delete container node

    missing `string . format` . you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit sel-fish      incorrect log message when try to delete container node

----
 , bot} , bot} , user eribeiro commented on a diff in the pull request:

     
    --- diff: java ---
    public void                 request request new request(null , 0 , 0,
                         path , null);
                 try {
    -                to delete candidate container: %s"",
    -                        containerpath);
    +                to delete candidate container: %s"",
    --- end diff --
    
    as this a log message you could use 
    to delete candidate container: {}"" , container path);`
 , bot} , bot} , user sel-fish commented on a diff in the pull request:

     
    --- diff: java ---
    public void                 request request new request(null , 0 , 0,
                         path , null);
                 try {
    -                to delete candidate container: %s"",
    -                        containerpath);
    +                to delete candidate container: %s"",
    --- end diff --
    
    to use the same logging style as the other code . not delete container: %s"" ,
                            containerpath) , e);
 , bot} , bot} , user anmolnar commented on a diff in the pull request:

     
    --- diff: java ---
    public void                 request request new request(null , 0 , 0,
                         path , null);
                 try {
    -                to delete candidate container: %s"",
    -                        containerpath);
    +                to delete candidate container: %s"",
    --- end diff --
    
    for 
    we already use that form at various places in the codebase , so feel free to use the better one . existing string.formats should be refactored in the long term , but that probably will happen in small refactorings like this . , bot} , bot} , ","1, -2"
ZOOKEEPER-3000,,"user leventov opened a pull request:

       use error-prone compiler

    fix some bugs in tests . you can merge this pull request into a git repository by running:

    $ git pull error-prone

alternatively you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit leventov      use error-prone compiler

----
 , bot} , bot} , user anmolnar commented on the issue:

     
    also would you please elaborate a little bit more on reasoning in jira's description for the records ? , bot} , bot} , user mfenes commented on a diff in the pull request:

     
    --- diff: build.xml ---
                                                 -       -           +       --- end diff --
    
    could we add the  none prone compiler as an optional tool , so that similarly to e . g . code coverage tools , the build could be run with or without the tool ? , bot} , bot} , user mfenes commented on a diff in the pull request:

     
    --- diff: build.xml ---
                                                 -       -           +       +           +                                     +               +                 +                                                               +
                         
    -       +       --- end diff --
    
    could we add the  none prone compiler as an optional tool , so that similarly to e . g . code coverage tools , the build could be run with or without the tool ? , bot} , bot} , user mfenes commented on the issue:

     
    hi in the commits , there are test code changes , too . are these related to the error prone compiler change , or these are just other bugs which you've fixed ? , bot} , bot} , user leventov commented on the issue:

     
    > however we already integrated findbugs tool in our build process , don't you think it would be  none to replace that instead of using two similar tools side-by-side ? no , static analysis tools complement each other . bugs found by one tool are not found by another , and vice versa . so it's good to run them all . > additionally i think it would be  none for reviewers to split this into integration of new static analyis tool , test fixes . test problems are catched by the tool . if the tool is integrated first , the compilation will fail briefly . so i don't see the point of the separation . the whole is not that big , after all . > could we add the  none prone compiler as an optional tool , so that similarly to e . g . code coverage tools , the build could be run with or without the tool ? i'm not proficient in ant , i managed to run the tool the simplest way possible that i could figure out . if you could implement this so that the tool is optional , you could do this . i don't know how to do this . > in the commits , there are test code changes , too . are these related to the error prone compiler change , or these are just other bugs which you've fixed ? all changes in this are imposed by error-prone only . , bot} , bot} , user anmolnar commented on a diff in the pull request:

     
    --- diff: java ---
    protected void throws exception {
                     }
     
    +       --- end diff --
    
    why not annotate with after instead ? does it break any test ? , bot} , bot} , user anmolnar commented on a diff in the pull request:

     
    --- diff: java ---
    private void zk , string nodename)
         }
     
         false);
    -    false , stat);
    +    stat new    --- end diff --
    
    which rule has triggered this change ? , bot} , bot} , user leventov commented on a diff in the pull request:

     
    --- diff: java ---
    private void zk , string nodename)
         }
     
         false);
    -    false , stat);
    +    stat new    --- end diff --
    
    (see a few lines below in diff)
 , bot} , bot} , user leventov commented on a diff in the pull request:

     
    --- diff: java ---
    protected void throws exception {
                     }
     
    +       --- end diff --
    
    because it's called from test bodies directly . i've fixed that by making the methods private instead of adding suppression . , bot} , bot} , user anmolnar commented on a diff in the pull request:

     
    --- diff: java ---
    private void zk , string nodename)
         }
     
         false);
    -    false , stat);
    +    stat new    --- end diff --
    
    cool , thanks . , bot} , bot} , user anmolnar commented on a diff in the pull request:

     
    --- diff: java ---
    protected void throws exception {
                     }
     
    +       --- end diff --
    
    wow , that's crazy . we must fix this sometime . do you think it could fit into this  , bot} , bot} , user leventov commented on a diff in the pull request:

     
    --- diff: java ---
    protected void throws exception {
                     }
     
    +       --- end diff --
    
    fixed what ? , bot} , bot} , user maoling commented on a diff in the pull request:

     
    --- diff: java ---
    private void zk , string nodename)
         }
     
         false);
    -    false , stat);
    +    stat new    +    false ,    --- end diff --
    
    **stat** has been changed(copyed) in  . `stat.equals(stat) `is right in findbugs
 , bot} , bot} , user maoling commented on a diff in the pull request:

     
    --- diff: java ---
    synchronized public void name) throws             if (assigned null) {
                 return;
             }
    -        remove(name);
    +        remove(new assigned(name , 0));
             + + assigned.container + + name);
    --- end diff --
    
    bot} , bot} , user anmolnar commented on a diff in the pull request:

     
    --- diff: java ---
    protected void throws exception {
                     }
     
    +       --- end diff --
    
    annotate with after and remove the call the tests . , bot} , bot} , ","4, -2"
ZOOKEEPER-2999,"Date: 2018-03-09T13:36:54.860-08:00, From: Open To: In ProgressDate: 2018-03-09T13:41:12.397-08:00, From: In Progress To: Patch Available","user andschwa opened a pull request:

       build should use target-level commands

    is using `include_directories` , which has global side effects,
    instead of the more explicit `target_include_directories` , to include
    directories per target (and with private or public scoping) . furthermore , should also use over
    in order to allow inclusion in other projects via
    and we can reduce the minimally required    version to from you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit proller      build should use target-level commands
    
    is using `include_directories` , which has global side effects,
    instead of the more explicit `target_include_directories` , to include
    directories per target (and with private or public scoping) . furthermore , should also use over
    in order to allow inclusion in other projects via
    and we can reduce the minimally required    version to from ----
 , bot} , bot} , user andschwa commented on the issue:

     
    this replaces  , bot} , bot} , user andschwa commented on the issue:

     
    i cherry-picked and kept your authorship 👍 
 , bot} , bot} , user andschwa commented on the issue:

     
    bot} , bot} , schwartzmeyer} , schwartzmeyer} , user andschwa commented on the issue:

     
    failures look spurious...
 , bot} , bot} , ","1, -2"
ZOOKEEPER-2998,"Date: 2018-03-09T13:07:17.067-08:00, From: Open To: In ProgressDate: 2018-03-09T13:41:44.568-08:00, From: In Progress To: Patch Available","user andschwa opened a pull request:

       declares incorrect version

    this was not updated for the current development branch ; it should be
    you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit andrew schwartzmeyer      declares incorrect version
    
    this was not updated for the current development branch ; it should be
    ----
 , bot} , bot} , user andschwa commented on the issue:

     
    that failure looks spurious...
 , bot} , bot} , schwartzmeyer} , schwartzmeyer} , user andschwa commented on the issue:

     
    bot} , bot} , ","1, -2"
ZOOKEEPER-2997,"Date: 2018-03-09T13:02:22.472-08:00, From: Open To: In ProgressDate: 2018-03-09T13:42:48.493-08:00, From: In Progress To: Patch Available","user andschwa opened a pull request:

       should not force static linking

    by removing this code , will use its own defaults for the    flags (e.g. , for debug configurations) . with it removed , the
    user can override this behavior by setting the    manually when configuring you can merge this pull request into a git repository by running:

    $ git pull master

alternatively you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit andrew schwartzmeyer      should not force static linking
    
    by removing this code , will use its own defaults for the    flags (e.g. , for debug configurations) . with it removed , the
    user can override this behavior by setting the    manually when configuring ----
 , bot} , bot} , user andschwa closed the pull request at:

    bot} , bot} , user andschwa opened a pull request:

       should not force static linking

    by removing this code , will use its own defaults for the    flags (e.g. , for debug configurations) . with it removed , the
    user can override this behavior by setting the    manually when configuring you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit andrew schwartzmeyer      should not force static linking
    
    by removing this code , will use its own defaults for the    flags (e.g. , for debug configurations) . with it removed , the
    user can override this behavior by setting the    manually when configuring ----
 , bot} , bot} , user andschwa commented on the issue:

     
    i had to reopen this because i changed which branch it was from . , bot} , bot} , user andschwa commented on the issue:

     
    bot} , bot} , schwartzmeyer} , schwartzmeyer} , user andschwa commented on the issue:

     
    errors look spurious...
 , bot} , bot} , ","1, -2"
ZOOKEEPER-2996,,,"1, -1"
ZOOKEEPER-2995,,,"1, -1"
ZOOKEEPER-2994,"Date: 2018-03-07T07:32:03.005-08:00, From: Open To: In Progress","user anmolnar opened a pull request:

       tool required to recover log and snapshot entries with errors

    in the even that the zookeeper transaction log become corrupted and fail checks (preventing startup) we should have a mechanism to get the cluster running again . previously we achieved this by loading the broken transaction log with a modified version of with disabled check and forced it to snapshot . it has proven that once you end up with the corrupt txn log there is no way to recover except manually modifying the crc check . that's basically why the tool is needed . it's called a new console application similar to and but it's intentionally separated to keep backward compatibility in the existing tools . this contains log tool only . you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit andor molnar      added new tool for txn log file recovery

commit andor molnar      refactor padding logic to separate class for reusability

commit andor molnar      added padding , tool renamed to    interactive mode , etc . ----
 , bot} , bot} , ","1, -2"
ZOOKEEPER-2993,,"catch , thanks for creating the jira . i think the name of the directory generated is a little bit misleading , because these files are part of the codebase since the very beginning and have mistakenly put on ignore by in you happy to contribute and file a new on to address the issue as suggested ? , molnar} , molnar} , user opened a pull request:

       - removed 'generated' line from  . gitignore

    

you can merge this pull request into a git repository by running:

    $ git pull you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit      - removed duplicate code

commit      - deleted duplicate code

commit      merge branch 'master' of      merge branch 'master' of      - removed 'generated' line from  . gitignore

----
 , bot} , bot} , user commented on the issue:

     
    - please review
 , bot} , bot} , user anmolnar commented on the issue:

     
    lgtm
    it would be nice to squash your commits into one . thanks . , bot} , bot} , user afine commented on the issue:

     
    i agree with this change should be fine from what i can tell but it would be nice to have a note as to why the change was made . , bot} , bot} , user commented on the issue:

     
    - thank you for the review comments . the change is to remove 'generated' keyword from  . gitignore because it prevents the dir and files under generated dir to be added to the repo . the compilation later fails due to the missing dir and files . also i am trying to squash the previous commits but somehow git is not allowing me to do so . let me know if the changes looks good and to be merged or i need to close this and create new one . , bot} , bot} , user afine commented on the issue:

     
    > the change is to remove 'generated' keyword from  . gitignore because it prevents the dir and files under generated dir to be added to the repo . the compilation later fails due to the missing dir and files . which files are you referring to ? i don't think we have any top level `generated` directory and i also don't think we would want to add such files to the repo . don't worry about squashing , i should be able to take care of that when it comes time to commit . , bot} , bot} , user commented on the issue:

     
    - currently there is a folder named 'generated' at below location . as per the defect any java file added to above location , it will be ignored by git to add to repository . , bot} , bot} , user tamaashu commented on the issue:

     
    sorry but i don't think that the generated directory is ignored by a defect . we should never add generated files to git , they must be ignored . , bot} , bot} , user anmolnar commented on the issue:

     
    generally speaking i agree with you , but that directory is somewhat different . there is code in it which we don't generate during our build process , but it's been in git since the beginning of i have no idea why that directory named 'generated' . it's quite misleading . please take a closer look before making a judgement . , bot} , bot} , user afine commented on the issue:

     
    i agree with that directory exists , it is currently in version control , and i don't think any generated files actually end up there . my guess is that it is there purely for historical reasons and to contain the rcc.jj file . in other words , i don't think your change to the gitignore will impact that directory . according to the gitignore documentation    
    > if the pattern does not contain a slash git treats it as a shell glob pattern and checks for a match against the pathname relative to the location of the  . gitignore file (relative to the toplevel of the work tree if not from a  . gitignore file) . since there are not any top level files called `generated` i don't think this line in the gitignore has any impact on the repository . am i -2 something here ? , bot} , bot} , user commented on the issue:

     
    hi folks,
    
    sorry for not keeping up with the jira . - thanks for the and others for reviewing . here are some info - hope it will shed some clarity . - there exists in the code a dir named: src/java/main/org/apache/jute/compiler/generated
    - in that dir it has rcc.java and other files
    - files in that dir is required to for successful compilation
    
    - however , the  . gitignore has the keyword ""generated""
    - when i add the source code tree into out company repo , the was effectively ignored - and thus not added into our company repo
    - i ran a jenkins job to compile the code from the repo - it failed - due to the missing rcc and other required java sources under that excluded directory . when i did a git status - everything was in sync even though my workspace has the rcc.java - but my company repo actually is missing that dir . my local compile succeeds every time . but jenkins job compile using company repo always fails . after some comparison - then i noticed the -2 dir on the company repo side . once i removed the generated keyword from the  . gitignore - git immediately detected the generated dir in my workspace as new . i was able to git to make the jenkins compile successful . hope this help clarify the situation . i prefer to have generated keyword removed . in the future , if the compile will generate artifacts that should be ignored , then modify the  . gitignore and rename the dir - so the does not conflict . my cents . thanks

 , bot} , bot} , user anmolnar commented on the issue:

     
    in the other way around: if there's no at the beginning of the keyword , git will check the entire path relative to the root for the string `generated` and if it finds a match , it'll ignore all files underneath . my suggestion is to remove `generated` keyword from  . gitignore - like in this - , because 'real' generated folders are already excluded explicitly . there could be other possible solutions to the problem , i'm open to them . , bot} , bot} , ","2, -3"
ZOOKEEPER-2992,"Date: 2018-03-04T18:52:15.693-08:00, From: Open To: Resolved","user elyograg opened a pull request:

       fix sourceforge download url

    is the jira issue . you can merge this pull request into a git repository by running:

    $ git pull master

alternatively you can review and apply these changes as the patch at:

    close this pull request , make a commit to your branch
with (at least) the following in the commit message:

    this closes    
----
commit shawn heisey      fix sourceforge download url . ----
 , bot} , bot} , like you're not using a text changelog . if there is any credit given somewhere else , please use my full name rather than my apache username . , heisey} , heisey} , user eribeiro commented on the issue:

     
    let's wait for a commiter's review and merge . , bot} , bot} , user asfgit closed the pull request at:

    bot} , bot} , resolved by pull request han} , han} , user hanm commented on the issue:

     
    merged to master:             bot} , bot} , integrated in jenkins build (see the eclipse build target fails due to protocol (hanm: rev edit build.xml
 , ","1, -2"
